Ensembl	species	Gene	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
ENSG00000180176	Mm Hs	TH	Adrenergic neurons	DYT5b	0.002	tyrosine hydroxylase	protein-coding gene	1	Ectoderm	Brain	0	1	0.0018797	0.00237636
ENSG00000132437	Mm Hs	DDC	Adrenergic neurons	AADC	0.014	dopa decarboxylase	protein-coding gene	1	Ectoderm	Brain	0	1	0.00469925	0.0163134
ENSG00000123454	Mm Hs	DBH	Adrenergic neurons	DBM	0.001	dopamine beta-hydroxylase	protein-coding gene	1	Ectoderm	Brain	0	1	0	0.000770713
ENSG00000165646	Mm Hs	SLC18A2	Adrenergic neurons	SVMT|SVAT|VMAT2	0.006	solute carrier family 18 member A2	protein-coding gene	1	Ectoderm	Brain	0	1	0.00125313	0.0076429
ENSG00000113504	Mm Hs	SLC12A7	Adrenergic neurons	KCC4|DKFZP434F076	0.006	solute carrier family 12 member 7	protein-coding gene	1	Ectoderm	Brain	0	0	0.00281955	0.00648683
ENSG00000160307	Mm Hs	S100B	Astrocytes	S100beta	0.066	S100 calcium binding protein B	protein-coding gene	1	Ectoderm	Brain	1	0.642623	0.0313873	0.0631469
ENSG00000110436	Mm Hs	SLC1A2	Astrocytes	GLT-1|EAAT2	0.071	solute carrier family 1 member 2	protein-coding gene	1	Ectoderm	Brain	1	1	0.00878845	0.0689113
ENSG00000131095	Mm Hs	GFAP	Astrocytes	FLJ45472	0.013	glial fibrillary acidic protein	protein-coding gene	1	Ectoderm	Brain	1	0.344262	0.00376648	0.00838465
ENSG00000112578	Mm Hs	BYSL	Astrocytes	Enp1	0.013	bystin like	protein-coding gene	1	Ectoderm	Brain	0	0	0.0109856	0.0137561
ENSG00000144908	Mm Hs	ALDH1L1	Astrocytes	10-fTHF|FTHFD	0.008	aldehyde dehydrogenase 1 family member L1	protein-coding gene	1	Ectoderm	Brain	0	0.140984	0.00156937	0.00766409
