"Ensembl" "moduleColor" "moduleLabel"
"ENSG00000000003" "grey" "M0"
"ENSG00000000005" "brown" "M11"
"ENSG00000000419" "grey" "M0"
"ENSG00000000457" "grey" "M0"
"ENSG00000000460" "grey" "M0"
"ENSG00000001036" "greenyellow" "M9"
"ENSG00000001084" "grey" "M0"
"ENSG00000001167" "grey" "M0"
"ENSG00000001497" "grey" "M0"
"ENSG00000001561" "magenta" "M7"
"ENSG00000001617" "grey" "M0"
"ENSG00000001629" "grey" "M0"
"ENSG00000001630" "yellow" "M2"
"ENSG00000001631" "grey" "M0"
"ENSG00000002016" "turquoise" "M1"
"ENSG00000002330" "greenyellow" "M9"
"ENSG00000002549" "yellow" "M2"
"ENSG00000002822" "brown" "M11"
"ENSG00000002834" "purple" "M8"
"ENSG00000002919" "yellow" "M2"
"ENSG00000003056" "grey" "M0"
"ENSG00000003096" "magenta" "M7"
"ENSG00000003137" "grey" "M0"
"ENSG00000003249" "red" "M4"
"ENSG00000003393" "grey" "M0"
"ENSG00000003436" "grey" "M0"
"ENSG00000003509" "grey" "M0"
"ENSG00000003756" "turquoise" "M1"
"ENSG00000003989" "grey" "M0"
"ENSG00000004059" "grey" "M0"
"ENSG00000004139" "grey" "M0"
"ENSG00000004142" "grey" "M0"
"ENSG00000004399" "purple" "M8"
"ENSG00000004455" "grey" "M0"
"ENSG00000004478" "purple" "M8"
"ENSG00000004487" "grey" "M0"
"ENSG00000004534" "grey" "M0"
"ENSG00000004700" "grey" "M0"
"ENSG00000004766" "grey" "M0"
"ENSG00000004777" "turquoise" "M1"
"ENSG00000004779" "grey" "M0"
"ENSG00000004864" "grey" "M0"
"ENSG00000004866" "brown" "M11"
"ENSG00000004897" "grey" "M0"
"ENSG00000004961" "yellow" "M2"
"ENSG00000004975" "grey" "M0"
"ENSG00000005007" "grey" "M0"
"ENSG00000005022" "purple" "M8"
"ENSG00000005059" "pink" "M6"
"ENSG00000005075" "blue" "M10"
"ENSG00000005100" "yellow" "M2"
"ENSG00000005102" "black" "M5"
"ENSG00000005108" "grey" "M0"
"ENSG00000005156" "grey" "M0"
"ENSG00000005175" "yellow" "M2"
"ENSG00000005189" "black" "M5"
"ENSG00000005194" "grey" "M0"
"ENSG00000005206" "turquoise" "M1"
"ENSG00000005238" "red" "M4"
"ENSG00000005249" "grey" "M0"
"ENSG00000005302" "grey" "M0"
"ENSG00000005339" "grey" "M0"
"ENSG00000005379" "pink" "M6"
"ENSG00000005436" "grey" "M0"
"ENSG00000005448" "pink" "M6"
"ENSG00000005469" "grey" "M0"
"ENSG00000005483" "pink" "M6"
"ENSG00000005486" "grey" "M0"
"ENSG00000005513" "yellow" "M2"
"ENSG00000005700" "pink" "M6"
"ENSG00000005801" "grey" "M0"
"ENSG00000005810" "grey" "M0"
"ENSG00000005812" "blue" "M10"
"ENSG00000005882" "black" "M5"
"ENSG00000005889" "magenta" "M7"
"ENSG00000005893" "grey" "M0"
"ENSG00000005955" "grey" "M0"
"ENSG00000006007" "grey" "M0"
"ENSG00000006015" "grey" "M0"
"ENSG00000006016" "red" "M4"
"ENSG00000006025" "turquoise" "M1"
"ENSG00000006042" "grey" "M0"
"ENSG00000006062" "yellow" "M2"
"ENSG00000006114" "grey" "M0"
"ENSG00000006118" "turquoise" "M1"
"ENSG00000006125" "grey" "M0"
"ENSG00000006128" "grey" "M0"
"ENSG00000006194" "grey" "M0"
"ENSG00000006210" "yellow" "M2"
"ENSG00000006282" "red" "M4"
"ENSG00000006283" "black" "M5"
"ENSG00000006327" "yellow" "M2"
"ENSG00000006432" "turquoise" "M1"
"ENSG00000006451" "grey" "M0"
"ENSG00000006453" "pink" "M6"
"ENSG00000006459" "pink" "M6"
"ENSG00000006468" "grey" "M0"
"ENSG00000006530" "grey" "M0"
"ENSG00000006576" "grey" "M0"
"ENSG00000006607" "grey" "M0"
"ENSG00000006625" "grey" "M0"
"ENSG00000006634" "yellow" "M2"
"ENSG00000006652" "yellow" "M2"
"ENSG00000006695" "yellow" "M2"
"ENSG00000006704" "turquoise" "M1"
"ENSG00000006712" "grey" "M0"
"ENSG00000006715" "grey" "M0"
"ENSG00000006744" "grey" "M0"
"ENSG00000006756" "pink" "M6"
"ENSG00000006757" "grey" "M0"
"ENSG00000006831" "yellow" "M2"
"ENSG00000007047" "grey" "M0"
"ENSG00000007062" "grey" "M0"
"ENSG00000007080" "grey" "M0"
"ENSG00000007129" "black" "M5"
"ENSG00000007168" "grey" "M0"
"ENSG00000007202" "grey" "M0"
"ENSG00000007237" "black" "M5"
"ENSG00000007255" "black" "M5"
"ENSG00000007341" "grey" "M0"
"ENSG00000007350" "grey" "M0"
"ENSG00000007372" "pink" "M6"
"ENSG00000007376" "purple" "M8"
"ENSG00000007384" "grey" "M0"
"ENSG00000007392" "grey" "M0"
"ENSG00000007402" "black" "M5"
"ENSG00000007516" "turquoise" "M1"
"ENSG00000007520" "grey" "M0"
"ENSG00000007541" "turquoise" "M1"
"ENSG00000007545" "grey" "M0"
"ENSG00000007866" "grey" "M0"
"ENSG00000007923" "grey" "M0"
"ENSG00000007944" "black" "M5"
"ENSG00000007968" "grey" "M0"
"ENSG00000008018" "grey" "M0"
"ENSG00000008083" "magenta" "M7"
"ENSG00000008130" "brown" "M11"
"ENSG00000008196" "red" "M4"
"ENSG00000008256" "grey" "M0"
"ENSG00000008277" "grey" "M0"
"ENSG00000008282" "grey" "M0"
"ENSG00000008283" "pink" "M6"
"ENSG00000008294" "grey" "M0"
"ENSG00000008300" "grey" "M0"
"ENSG00000008311" "pink" "M6"
"ENSG00000008324" "grey" "M0"
"ENSG00000008382" "turquoise" "M1"
"ENSG00000008394" "brown" "M11"
"ENSG00000008405" "grey" "M0"
"ENSG00000008513" "grey" "M0"
"ENSG00000008710" "grey" "M0"
"ENSG00000008735" "grey" "M0"
"ENSG00000008838" "grey" "M0"
"ENSG00000008853" "grey" "M0"
"ENSG00000008869" "grey" "M0"
"ENSG00000008952" "grey" "M0"
"ENSG00000008988" "grey" "M0"
"ENSG00000009307" "grey" "M0"
"ENSG00000009335" "yellow" "M2"
"ENSG00000009413" "grey" "M0"
"ENSG00000009709" "pink" "M6"
"ENSG00000009724" "grey" "M0"
"ENSG00000009780" "grey" "M0"
"ENSG00000009830" "grey" "M0"
"ENSG00000009844" "grey" "M0"
"ENSG00000009954" "grey" "M0"
"ENSG00000010017" "grey" "M0"
"ENSG00000010072" "grey" "M0"
"ENSG00000010165" "yellow" "M2"
"ENSG00000010219" "grey" "M0"
"ENSG00000010244" "grey" "M0"
"ENSG00000010256" "grey" "M0"
"ENSG00000010270" "yellow" "M2"
"ENSG00000010278" "pink" "M6"
"ENSG00000010292" "grey" "M0"
"ENSG00000010295" "turquoise" "M1"
"ENSG00000010318" "black" "M5"
"ENSG00000010322" "grey" "M0"
"ENSG00000010361" "grey" "M0"
"ENSG00000010404" "yellow" "M2"
"ENSG00000010539" "yellow" "M2"
"ENSG00000010626" "black" "M5"
"ENSG00000010803" "grey" "M0"
"ENSG00000010810" "grey" "M0"
"ENSG00000011007" "grey" "M0"
"ENSG00000011009" "grey" "M0"
"ENSG00000011021" "grey" "M0"
"ENSG00000011028" "red" "M4"
"ENSG00000011105" "greenyellow" "M9"
"ENSG00000011114" "grey" "M0"
"ENSG00000011132" "turquoise" "M1"
"ENSG00000011143" "grey" "M0"
"ENSG00000011198" "yellow" "M2"
"ENSG00000011201" "pink" "M6"
"ENSG00000011243" "turquoise" "M1"
"ENSG00000011258" "pink" "M6"
"ENSG00000011260" "yellow" "M2"
"ENSG00000011275" "grey" "M0"
"ENSG00000011295" "grey" "M0"
"ENSG00000011304" "grey" "M0"
"ENSG00000011332" "magenta" "M7"
"ENSG00000011347" "grey" "M0"
"ENSG00000011376" "grey" "M0"
"ENSG00000011405" "magenta" "M7"
"ENSG00000011422" "red" "M4"
"ENSG00000011426" "brown" "M11"
"ENSG00000011451" "grey" "M0"
"ENSG00000011454" "grey" "M0"
"ENSG00000011465" "grey" "M0"
"ENSG00000011478" "grey" "M0"
"ENSG00000011485" "grey" "M0"
"ENSG00000011523" "grey" "M0"
"ENSG00000011566" "magenta" "M7"
"ENSG00000011638" "grey" "M0"
"ENSG00000011677" "turquoise" "M1"
"ENSG00000012048" "grey" "M0"
"ENSG00000012061" "grey" "M0"
"ENSG00000012171" "pink" "M6"
"ENSG00000012174" "grey" "M0"
"ENSG00000012232" "grey" "M0"
"ENSG00000012660" "grey" "M0"
"ENSG00000012817" "grey" "M0"
"ENSG00000012822" "black" "M5"
"ENSG00000012963" "yellow" "M2"
"ENSG00000012983" "grey" "M0"
"ENSG00000013016" "greenyellow" "M9"
"ENSG00000013275" "grey" "M0"
"ENSG00000013288" "red" "M4"
"ENSG00000013306" "grey" "M0"
"ENSG00000013374" "grey" "M0"
"ENSG00000013375" "grey" "M0"
"ENSG00000013392" "turquoise" "M1"
"ENSG00000013441" "grey" "M0"
"ENSG00000013503" "yellow" "M2"
"ENSG00000013523" "red" "M4"
"ENSG00000013561" "yellow" "M2"
"ENSG00000013563" "black" "M5"
"ENSG00000013573" "grey" "M0"
"ENSG00000013583" "pink" "M6"
"ENSG00000013810" "grey" "M0"
"ENSG00000014123" "grey" "M0"
"ENSG00000014138" "grey" "M0"
"ENSG00000014164" "grey" "M0"
"ENSG00000014216" "red" "M4"
"ENSG00000014641" "grey" "M0"
"ENSG00000014824" "grey" "M0"
"ENSG00000014914" "turquoise" "M1"
"ENSG00000014919" "grey" "M0"
"ENSG00000015133" "grey" "M0"
"ENSG00000015153" "grey" "M0"
"ENSG00000015171" "grey" "M0"
"ENSG00000015475" "brown" "M11"
"ENSG00000015479" "grey" "M0"
"ENSG00000015532" "red" "M4"
"ENSG00000015592" "turquoise" "M1"
"ENSG00000015676" "grey" "M0"
"ENSG00000016391" "grey" "M0"
"ENSG00000016864" "grey" "M0"
"ENSG00000017260" "grey" "M0"
"ENSG00000017373" "black" "M5"
"ENSG00000017797" "grey" "M0"
"ENSG00000018189" "grey" "M0"
"ENSG00000018408" "greenyellow" "M9"
"ENSG00000018510" "grey" "M0"
"ENSG00000018610" "yellow" "M2"
"ENSG00000018625" "black" "M5"
"ENSG00000018699" "blue" "M10"
"ENSG00000018869" "grey" "M0"
"ENSG00000019144" "grey" "M0"
"ENSG00000019505" "pink" "M6"
"ENSG00000019549" "black" "M5"
"ENSG00000019991" "red" "M4"
"ENSG00000019995" "grey" "M0"
"ENSG00000020129" "grey" "M0"
"ENSG00000020181" "red" "M4"
"ENSG00000020256" "grey" "M0"
"ENSG00000020426" "grey" "M0"
"ENSG00000020577" "yellow" "M2"
"ENSG00000020922" "grey" "M0"
"ENSG00000021300" "turquoise" "M1"
"ENSG00000021355" "grey" "M0"
"ENSG00000021574" "grey" "M0"
"ENSG00000021762" "grey" "M0"
"ENSG00000021776" "grey" "M0"
"ENSG00000021826" "black" "M5"
"ENSG00000022267" "black" "M5"
"ENSG00000022277" "grey" "M0"
"ENSG00000022556" "grey" "M0"
"ENSG00000022567" "grey" "M0"
"ENSG00000022840" "grey" "M0"
"ENSG00000022976" "grey" "M0"
"ENSG00000023041" "grey" "M0"
"ENSG00000023171" "turquoise" "M1"
"ENSG00000023191" "brown" "M11"
"ENSG00000023228" "grey" "M0"
"ENSG00000023287" "grey" "M0"
"ENSG00000023318" "grey" "M0"
"ENSG00000023330" "grey" "M0"
"ENSG00000023516" "grey" "M0"
"ENSG00000023572" "purple" "M8"
"ENSG00000023608" "yellow" "M2"
"ENSG00000023697" "grey" "M0"
"ENSG00000023734" "grey" "M0"
"ENSG00000023902" "grey" "M0"
"ENSG00000023909" "yellow" "M2"
"ENSG00000024048" "grey" "M0"
"ENSG00000024526" "turquoise" "M1"
"ENSG00000024862" "black" "M5"
"ENSG00000025039" "grey" "M0"
"ENSG00000025156" "grey" "M0"
"ENSG00000025293" "grey" "M0"
"ENSG00000025434" "red" "M4"
"ENSG00000025770" "grey" "M0"
"ENSG00000025772" "grey" "M0"
"ENSG00000025796" "grey" "M0"
"ENSG00000025800" "grey" "M0"
"ENSG00000026025" "purple" "M8"
"ENSG00000026103" "grey" "M0"
"ENSG00000026559" "grey" "M0"
"ENSG00000026652" "turquoise" "M1"
"ENSG00000026950" "turquoise" "M1"
"ENSG00000027001" "grey" "M0"
"ENSG00000027697" "grey" "M0"
"ENSG00000027847" "greenyellow" "M9"
"ENSG00000028116" "black" "M5"
"ENSG00000028137" "grey" "M0"
"ENSG00000028203" "grey" "M0"
"ENSG00000028310" "grey" "M0"
"ENSG00000028528" "grey" "M0"
"ENSG00000028839" "grey" "M0"
"ENSG00000029153" "magenta" "M7"
"ENSG00000029363" "grey" "M0"
"ENSG00000029364" "grey" "M0"
"ENSG00000029639" "grey" "M0"
"ENSG00000029725" "grey" "M0"
"ENSG00000029993" "grey" "M0"
"ENSG00000030066" "grey" "M0"
"ENSG00000030110" "blue" "M10"
"ENSG00000030582" "red" "M4"
"ENSG00000031003" "yellow" "M2"
"ENSG00000031081" "red" "M4"
"ENSG00000031691" "magenta" "M7"
"ENSG00000031698" "grey" "M0"
"ENSG00000031823" "grey" "M0"
"ENSG00000032219" "turquoise" "M1"
"ENSG00000032389" "grey" "M0"
"ENSG00000032444" "turquoise" "M1"
"ENSG00000032742" "grey" "M0"
"ENSG00000033011" "purple" "M8"
"ENSG00000033030" "grey" "M0"
"ENSG00000033050" "grey" "M0"
"ENSG00000033100" "grey" "M0"
"ENSG00000033170" "brown" "M11"
"ENSG00000033178" "grey" "M0"
"ENSG00000033327" "turquoise" "M1"
"ENSG00000033627" "grey" "M0"
"ENSG00000033800" "pink" "M6"
"ENSG00000033867" "magenta" "M7"
"ENSG00000034053" "grey" "M0"
"ENSG00000034063" "blue" "M10"
"ENSG00000034152" "grey" "M0"
"ENSG00000034510" "greenyellow" "M9"
"ENSG00000034533" "grey" "M0"
"ENSG00000034677" "grey" "M0"
"ENSG00000034693" "yellow" "M2"
"ENSG00000034713" "grey" "M0"
"ENSG00000035115" "grey" "M0"
"ENSG00000035141" "magenta" "M7"
"ENSG00000035403" "purple" "M8"
