"Symbol" "moduleLabel"
"ENSG00000000003" "M0"
"ENSG00000000419" "M0"
"ENSG00000000457" "M13"
"ENSG00000000460" "M0"
"ENSG00000000971" "M2"
"ENSG00000001036" "M0"
"ENSG00000001084" "M0"
"ENSG00000001167" "M0"
"ENSG00000001461" "M1"
"ENSG00000001497" "M0"
"ENSG00000001561" "M0"
"ENSG00000001617" "M0"
"ENSG00000001629" "M0"
"ENSG00000001630" "M0"
"ENSG00000001631" "M0"
"ENSG00000002016" "M0"
"ENSG00000002330" "M0"
"ENSG00000002549" "M9"
"ENSG00000002587" "M0"
"ENSG00000002746" "M14"
"ENSG00000002822" "M15"
"ENSG00000002834" "M0"
"ENSG00000002919" "M0"
"ENSG00000003056" "M18"
"ENSG00000003096" "M0"
"ENSG00000003137" "M13"
"ENSG00000003147" "M13"
"ENSG00000003249" "M0"
"ENSG00000003393" "M0"
"ENSG00000003402" "M0"
"ENSG00000003436" "M1"
"ENSG00000003509" "M0"
"ENSG00000003756" "M0"
"ENSG00000003987" "M2"
"ENSG00000004059" "M0"
"ENSG00000004139" "M0"
"ENSG00000004142" "M0"
"ENSG00000004399" "M6"
"ENSG00000004455" "M6"
"ENSG00000004478" "M0"
"ENSG00000004487" "M0"
"ENSG00000004534" "M0"
"ENSG00000004660" "M0"
"ENSG00000004700" "M0"
"ENSG00000004766" "M12"
"ENSG00000004777" "M1"
"ENSG00000004779" "M0"
"ENSG00000004799" "M0"
"ENSG00000004838" "M7"
"ENSG00000004864" "M0"
"ENSG00000004866" "M0"
"ENSG00000004897" "M0"
"ENSG00000004961" "M0"
"ENSG00000004975" "M0"
"ENSG00000005007" "M0"
"ENSG00000005020" "M0"
"ENSG00000005022" "M0"
"ENSG00000005059" "M0"
"ENSG00000005075" "M19"
"ENSG00000005100" "M0"
"ENSG00000005108" "M12"
"ENSG00000005156" "M0"
"ENSG00000005175" "M0"
"ENSG00000005189" "M1"
"ENSG00000005194" "M0"
"ENSG00000005206" "M0"
"ENSG00000005238" "M0"
"ENSG00000005243" "M4"
"ENSG00000005249" "M2"
"ENSG00000005302" "M0"
"ENSG00000005339" "M0"
"ENSG00000005379" "M1"
"ENSG00000005436" "M0"
"ENSG00000005448" "M0"
"ENSG00000005469" "M0"
"ENSG00000005483" "M0"
"ENSG00000005486" "M0"
"ENSG00000005513" "M0"
"ENSG00000005700" "M0"
"ENSG00000005801" "M0"
"ENSG00000005810" "M2"
"ENSG00000005812" "M0"
"ENSG00000005882" "M0"
"ENSG00000005884" "M6"
"ENSG00000005889" "M0"
"ENSG00000005893" "M0"
"ENSG00000005955" "M0"
"ENSG00000005961" "M5"
"ENSG00000006007" "M0"
"ENSG00000006015" "M0"
"ENSG00000006025" "M5"
"ENSG00000006042" "M0"
"ENSG00000006047" "M1"
"ENSG00000006062" "M6"
"ENSG00000006071" "M1"
"ENSG00000006114" "M0"
"ENSG00000006118" "M8"
"ENSG00000006125" "M0"
"ENSG00000006128" "M0"
"ENSG00000006194" "M8"
"ENSG00000006210" "M0"
"ENSG00000006282" "M0"
"ENSG00000006283" "M0"
"ENSG00000006327" "M18"
"ENSG00000006432" "M2"
"ENSG00000006451" "M0"
"ENSG00000006459" "M9"
"ENSG00000006468" "M0"
"ENSG00000006530" "M0"
"ENSG00000006576" "M14"
"ENSG00000006607" "M0"
"ENSG00000006625" "M0"
"ENSG00000006634" "M0"
"ENSG00000006652" "M18"
"ENSG00000006695" "M0"
"ENSG00000006704" "M6"
"ENSG00000006712" "M0"
"ENSG00000006715" "M0"
"ENSG00000006740" "M13"
"ENSG00000006744" "M6"
"ENSG00000006756" "M0"
"ENSG00000006831" "M0"
"ENSG00000007047" "M3"
"ENSG00000007062" "M7"
"ENSG00000007080" "M0"
"ENSG00000007168" "M0"
"ENSG00000007202" "M0"
"ENSG00000007237" "M4"
"ENSG00000007255" "M0"
"ENSG00000007341" "M12"
"ENSG00000007350" "M12"
"ENSG00000007372" "M15"
"ENSG00000007376" "M0"
"ENSG00000007384" "M17"
"ENSG00000007392" "M0"
"ENSG00000007402" "M13"
"ENSG00000007516" "M0"
"ENSG00000007520" "M0"
"ENSG00000007541" "M15"
"ENSG00000007545" "M0"
"ENSG00000007866" "M17"
"ENSG00000007923" "M0"
"ENSG00000007944" "M0"
"ENSG00000007968" "M11"
"ENSG00000008018" "M0"
"ENSG00000008056" "M1"
"ENSG00000008083" "M0"
"ENSG00000008086" "M2"
"ENSG00000008118" "M13"
"ENSG00000008130" "M8"
"ENSG00000008196" "M12"
"ENSG00000008256" "M6"
"ENSG00000008277" "M2"
"ENSG00000008282" "M0"
"ENSG00000008283" "M0"
"ENSG00000008294" "M0"
"ENSG00000008300" "M0"
"ENSG00000008311" "M0"
"ENSG00000008324" "M0"
"ENSG00000008382" "M0"
"ENSG00000008394" "M0"
"ENSG00000008405" "M0"
"ENSG00000008441" "M17"
"ENSG00000008513" "M0"
"ENSG00000008710" "M0"
"ENSG00000008735" "M1"
"ENSG00000008838" "M0"
"ENSG00000008853" "M0"
"ENSG00000008869" "M0"
"ENSG00000008952" "M0"
"ENSG00000008988" "M0"
"ENSG00000009307" "M0"
"ENSG00000009335" "M0"
"ENSG00000009413" "M0"
"ENSG00000009694" "M2"
"ENSG00000009724" "M5"
"ENSG00000009780" "M0"
"ENSG00000009830" "M0"
"ENSG00000009844" "M0"
"ENSG00000009954" "M0"
"ENSG00000010017" "M0"
"ENSG00000010072" "M0"
"ENSG00000010165" "M18"
"ENSG00000010219" "M0"
"ENSG00000010244" "M0"
"ENSG00000010256" "M0"
"ENSG00000010270" "M0"
"ENSG00000010278" "M13"
"ENSG00000010292" "M0"
"ENSG00000010295" "M0"
"ENSG00000010310" "M3"
"ENSG00000010318" "M3"
"ENSG00000010322" "M3"
"ENSG00000010361" "M0"
"ENSG00000010404" "M1"
"ENSG00000010539" "M0"
"ENSG00000010626" "M7"
"ENSG00000010803" "M0"
"ENSG00000010810" "M0"
"ENSG00000010818" "M1"
"ENSG00000011007" "M0"
"ENSG00000011009" "M0"
"ENSG00000011021" "M0"
"ENSG00000011028" "M17"
"ENSG00000011105" "M4"
"ENSG00000011114" "M0"
"ENSG00000011132" "M8"
"ENSG00000011143" "M0"
"ENSG00000011198" "M0"
"ENSG00000011201" "M0"
"ENSG00000011243" "M5"
"ENSG00000011258" "M0"
"ENSG00000011260" "M9"
"ENSG00000011275" "M0"
"ENSG00000011295" "M0"
"ENSG00000011304" "M0"
"ENSG00000011332" "M0"
"ENSG00000011347" "M1"
"ENSG00000011376" "M0"
"ENSG00000011405" "M0"
"ENSG00000011426" "M11"
"ENSG00000011451" "M0"
"ENSG00000011454" "M0"
"ENSG00000011465" "M4"
"ENSG00000011478" "M0"
"ENSG00000011485" "M0"
"ENSG00000011523" "M0"
"ENSG00000011566" "M0"
"ENSG00000011638" "M3"
"ENSG00000011677" "M2"
"ENSG00000012048" "M11"
"ENSG00000012061" "M0"
"ENSG00000012171" "M12"
"ENSG00000012174" "M0"
"ENSG00000012232" "M0"
"ENSG00000012660" "M10"
"ENSG00000012817" "M3"
"ENSG00000012822" "M17"
"ENSG00000012963" "M0"
"ENSG00000012983" "M0"
"ENSG00000013016" "M10"
"ENSG00000013275" "M0"
"ENSG00000013288" "M0"
"ENSG00000013293" "M0"
"ENSG00000013297" "M0"
"ENSG00000013306" "M0"
"ENSG00000013364" "M0"
"ENSG00000013374" "M0"
"ENSG00000013375" "M0"
"ENSG00000013392" "M0"
"ENSG00000013441" "M0"
"ENSG00000013503" "M9"
"ENSG00000013523" "M0"
"ENSG00000013561" "M0"
"ENSG00000013563" "M0"
"ENSG00000013573" "M0"
"ENSG00000013583" "M0"
"ENSG00000013619" "M0"
"ENSG00000013810" "M11"
"ENSG00000014123" "M7"
"ENSG00000014138" "M0"
"ENSG00000014164" "M17"
"ENSG00000014216" "M0"
"ENSG00000014641" "M14"
"ENSG00000014824" "M0"
"ENSG00000014914" "M4"
"ENSG00000014919" "M0"
"ENSG00000015133" "M15"
"ENSG00000015153" "M0"
"ENSG00000015171" "M0"
"ENSG00000015285" "M19"
"ENSG00000015475" "M0"
"ENSG00000015479" "M0"
"ENSG00000015532" "M0"
"ENSG00000015592" "M0"
"ENSG00000015676" "M0"
"ENSG00000016864" "M0"
"ENSG00000017260" "M0"
"ENSG00000017373" "M3"
"ENSG00000017427" "M0"
"ENSG00000017797" "M0"
"ENSG00000018189" "M0"
"ENSG00000018236" "M1"
"ENSG00000018408" "M17"
"ENSG00000018510" "M0"
"ENSG00000018610" "M0"
"ENSG00000018625" "M14"
"ENSG00000018699" "M5"
"ENSG00000018869" "M0"
"ENSG00000019144" "M8"
"ENSG00000019485" "M0"
"ENSG00000019505" "M1"
"ENSG00000019549" "M4"
"ENSG00000019995" "M3"
"ENSG00000020129" "M4"
"ENSG00000020181" "M4"
"ENSG00000020256" "M8"
"ENSG00000020426" "M9"
"ENSG00000020577" "M6"
"ENSG00000020922" "M0"
"ENSG00000021300" "M3"
"ENSG00000021574" "M0"
"ENSG00000021645" "M4"
"ENSG00000021762" "M3"
"ENSG00000021776" "M0"
"ENSG00000021826" "M0"
"ENSG00000022267" "M6"
"ENSG00000022277" "M0"
"ENSG00000022556" "M0"
"ENSG00000022567" "M0"
"ENSG00000022840" "M0"
"ENSG00000022976" "M0"
"ENSG00000023041" "M3"
"ENSG00000023171" "M3"
"ENSG00000023191" "M0"
"ENSG00000023228" "M0"
"ENSG00000023287" "M0"
"ENSG00000023318" "M0"
"ENSG00000023330" "M0"
"ENSG00000023516" "M0"
"ENSG00000023572" "M0"
"ENSG00000023608" "M15"
"ENSG00000023697" "M0"
"ENSG00000023734" "M0"
"ENSG00000023902" "M0"
"ENSG00000023909" "M0"
"ENSG00000024048" "M0"
"ENSG00000024422" "M17"
"ENSG00000024526" "M11"
"ENSG00000024862" "M0"
"ENSG00000025039" "M0"
"ENSG00000025156" "M0"
"ENSG00000025293" "M0"
"ENSG00000025434" "M0"
"ENSG00000025770" "M3"
"ENSG00000025772" "M18"
"ENSG00000025796" "M0"
"ENSG00000025800" "M0"
"ENSG00000026025" "M8"
"ENSG00000026036" "M3"
"ENSG00000026103" "M9"
"ENSG00000026297" "M0"
"ENSG00000026508" "M0"
"ENSG00000026559" "M5"
"ENSG00000026652" "M0"
"ENSG00000026950" "M13"
"ENSG00000027001" "M0"
"ENSG00000027697" "M0"
"ENSG00000027847" "M0"
"ENSG00000028203" "M0"
"ENSG00000028277" "M2"
"ENSG00000028310" "M0"
"ENSG00000028528" "M0"
"ENSG00000028839" "M0"
"ENSG00000029153" "M0"
"ENSG00000029363" "M0"
"ENSG00000029364" "M0"
