Ensembl,Module
ENSG00000014914,M1_DeRosa135
ENSG00000043143,M1_DeRosa135
ENSG00000049245,M1_DeRosa135
ENSG00000049246,M1_DeRosa135
ENSG00000054983,M1_DeRosa135
ENSG00000063438,M1_DeRosa135
ENSG00000064012,M1_DeRosa135
ENSG00000064886,M1_DeRosa135
ENSG00000065485,M1_DeRosa135
ENSG00000072210,M1_DeRosa135
ENSG00000076555,M1_DeRosa135
ENSG00000077327,M1_DeRosa135
ENSG00000081189,M1_DeRosa135
ENSG00000082641,M1_DeRosa135
ENSG00000085063,M1_DeRosa135
ENSG00000092841,M1_DeRosa135
ENSG00000092871,M1_DeRosa135
ENSG00000100307,M1_DeRosa135
ENSG00000100647,M1_DeRosa135
ENSG00000101000,M1_DeRosa135
ENSG00000101577,M1_DeRosa135
ENSG00000101608,M1_DeRosa135
ENSG00000101986,M1_DeRosa135
ENSG00000102996,M1_DeRosa135
ENSG00000106351,M1_DeRosa135
ENSG00000106608,M1_DeRosa135
ENSG00000111261,M1_DeRosa135
ENSG00000112851,M1_DeRosa135
ENSG00000112902,M1_DeRosa135
ENSG00000113163,M1_DeRosa135
ENSG00000113916,M1_DeRosa135
ENSG00000119943,M1_DeRosa135
ENSG00000121064,M1_DeRosa135
ENSG00000125304,M1_DeRosa135
ENSG00000125434,M1_DeRosa135
ENSG00000127603,M1_DeRosa135
ENSG00000130340,M1_DeRosa135
ENSG00000130402,M1_DeRosa135
ENSG00000131378,M1_DeRosa135
ENSG00000133961,M1_DeRosa135
ENSG00000135862,M1_DeRosa135
ENSG00000138613,M1_DeRosa135
ENSG00000138758,M1_DeRosa135
ENSG00000139178,M1_DeRosa135
ENSG00000139626,M1_DeRosa135
ENSG00000140545,M1_DeRosa135
ENSG00000141376,M1_DeRosa135
ENSG00000141380,M1_DeRosa135
ENSG00000142408,M1_DeRosa135
ENSG00000143318,M1_DeRosa135
ENSG00000143337,M1_DeRosa135
ENSG00000143418,M1_DeRosa135
ENSG00000143514,M1_DeRosa135
ENSG00000143622,M1_DeRosa135
ENSG00000143797,M1_DeRosa135
ENSG00000144455,M1_DeRosa135
ENSG00000144481,M1_DeRosa135
ENSG00000145248,M1_DeRosa135
ENSG00000145623,M1_DeRosa135
ENSG00000145730,M1_DeRosa135
ENSG00000146411,M1_DeRosa135
ENSG00000147119,M1_DeRosa135
ENSG00000148057,M1_DeRosa135
ENSG00000150938,M1_DeRosa135
ENSG00000151135,M1_DeRosa135
ENSG00000151414,M1_DeRosa135
ENSG00000152583,M1_DeRosa135
ENSG00000154229,M1_DeRosa135
ENSG00000156642,M1_DeRosa135
ENSG00000158604,M1_DeRosa135
ENSG00000162542,M1_DeRosa135
ENSG00000162909,M1_DeRosa135
ENSG00000164010,M1_DeRosa135
ENSG00000164951,M1_DeRosa135
ENSG00000165240,M1_DeRosa135
ENSG00000166682,M1_DeRosa135
ENSG00000166963,M1_DeRosa135
ENSG00000168216,M1_DeRosa135
ENSG00000168610,M1_DeRosa135
ENSG00000169902,M1_DeRosa135
ENSG00000170558,M1_DeRosa135
ENSG00000170776,M1_DeRosa135
ENSG00000171603,M1_DeRosa135
ENSG00000173705,M1_DeRosa135
ENSG00000175482,M1_DeRosa135
ENSG00000176485,M1_DeRosa135
ENSG00000177738,M1_DeRosa135
ENSG00000180628,M1_DeRosa135
ENSG00000182310,M1_DeRosa135
ENSG00000182718,M1_DeRosa135
ENSG00000182985,M1_DeRosa135
ENSG00000185339,M1_DeRosa135
ENSG00000185585,M1_DeRosa135
ENSG00000186951,M1_DeRosa135
ENSG00000188477,M1_DeRosa135
