Ensembl,Module
ENSG00000000003,CD4_Gandal
ENSG00000000005,CD2_Gandal
ENSG00000000419,CD5_Gandal
ENSG00000000457,CD0_Gandal
ENSG00000000460,CD0_Gandal
ENSG00000000938,CD0_Gandal
ENSG00000000971,CD12_Gandal
ENSG00000001084,CD3_Gandal
ENSG00000001167,CD0_Gandal
ENSG00000001461,CD3_Gandal
ENSG00000001497,CD9_Gandal
ENSG00000001561,CD7_Gandal
ENSG00000001617,CD0_Gandal
ENSG00000001626,CD0_Gandal
ENSG00000001630,CD7_Gandal
ENSG00000002016,CD0_Gandal
ENSG00000002330,CD1_Gandal
ENSG00000002549,CD3_Gandal
ENSG00000002586,CD4_Gandal
ENSG00000002587,CD0_Gandal
ENSG00000002726,CD2_Gandal
ENSG00000002745,CD0_Gandal
ENSG00000002746,CD13_Gandal
ENSG00000002822,CD1_Gandal
ENSG00000002834,CD0_Gandal
ENSG00000002919,CD0_Gandal
ENSG00000002933,CD4_Gandal
ENSG00000003056,CD0_Gandal
ENSG00000003137,CD0_Gandal
ENSG00000003147,CD0_Gandal
ENSG00000003249,CD1_Gandal
ENSG00000003400,CD2_Gandal
ENSG00000003402,CD3_Gandal
ENSG00000003436,CD0_Gandal
ENSG00000003509,CD0_Gandal
ENSG00000003756,CD0_Gandal
ENSG00000003987,CD0_Gandal
ENSG00000003989,CD4_Gandal
ENSG00000004059,CD1_Gandal
ENSG00000004139,CD8_Gandal
ENSG00000004142,CD1_Gandal
ENSG00000004399,CD9_Gandal
ENSG00000004455,CD3_Gandal
ENSG00000004468,CD4_Gandal
ENSG00000004478,CD0_Gandal
ENSG00000004487,CD0_Gandal
ENSG00000004534,CD0_Gandal
ENSG00000004700,CD7_Gandal
ENSG00000004766,CD0_Gandal
ENSG00000004776,CD2_Gandal
ENSG00000004777,CD8_Gandal
ENSG00000004779,CD5_Gandal
ENSG00000004799,CD4_Gandal
ENSG00000004838,CD1_Gandal
ENSG00000004864,CD3_Gandal
ENSG00000004866,CD0_Gandal
ENSG00000004897,CD0_Gandal
ENSG00000004939,CD2_Gandal
ENSG00000004948,CD2_Gandal
ENSG00000004961,CD5_Gandal
ENSG00000004975,CD0_Gandal
ENSG00000005001,CD6_Gandal
ENSG00000005007,CD9_Gandal
ENSG00000005020,CD5_Gandal
ENSG00000005022,CD0_Gandal
ENSG00000005059,CD0_Gandal
ENSG00000005073,CD2_Gandal
ENSG00000005102,CD8_Gandal
ENSG00000005156,CD0_Gandal
ENSG00000005175,CD5_Gandal
ENSG00000005187,CD2_Gandal
ENSG00000005189,CD0_Gandal
ENSG00000005194,CD10_Gandal
ENSG00000005206,CD0_Gandal
ENSG00000005238,CD8_Gandal
ENSG00000005243,CD0_Gandal
ENSG00000005249,CD5_Gandal
ENSG00000005302,CD0_Gandal
ENSG00000005339,CD0_Gandal
ENSG00000005381,CD0_Gandal
ENSG00000005421,CD2_Gandal
ENSG00000005436,CD0_Gandal
ENSG00000005469,CD0_Gandal
ENSG00000005471,CD12_Gandal
ENSG00000005700,CD7_Gandal
ENSG00000005801,CD0_Gandal
ENSG00000005810,CD13_Gandal
ENSG00000005844,CD0_Gandal
ENSG00000005882,CD1_Gandal
ENSG00000005889,CD0_Gandal
ENSG00000005893,CD3_Gandal
ENSG00000005955,CD0_Gandal
ENSG00000005961,CD6_Gandal
ENSG00000005981,CD0_Gandal
ENSG00000006007,CD0_Gandal
ENSG00000006015,CD1_Gandal
ENSG00000006016,CD0_Gandal
ENSG00000006025,CD8_Gandal
ENSG00000006047,CD2_Gandal
ENSG00000006059,CD0_Gandal
ENSG00000006062,CD0_Gandal
ENSG00000006071,CD1_Gandal
ENSG00000006074,CD2_Gandal
ENSG00000006075,CD0_Gandal
ENSG00000006114,CD3_Gandal
ENSG00000006116,CD1_Gandal
ENSG00000006118,CD1_Gandal
ENSG00000006125,CD0_Gandal
ENSG00000006128,CD5_Gandal
ENSG00000006194,CD0_Gandal
ENSG00000006210,CD1_Gandal
ENSG00000006282,CD9_Gandal
ENSG00000006283,CD0_Gandal
ENSG00000006327,CD6_Gandal
ENSG00000006377,CD0_Gandal
ENSG00000006432,CD1_Gandal
ENSG00000006451,CD0_Gandal
ENSG00000006468,CD0_Gandal
ENSG00000006530,CD5_Gandal
ENSG00000006534,CD2_Gandal
ENSG00000006555,CD2_Gandal
ENSG00000006576,CD7_Gandal
ENSG00000006607,CD3_Gandal
ENSG00000006611,CD3_Gandal
ENSG00000006634,CD0_Gandal
ENSG00000006638,CD6_Gandal
ENSG00000006652,CD7_Gandal
ENSG00000006659,CD2_Gandal
ENSG00000006695,CD0_Gandal
ENSG00000006704,CD0_Gandal
ENSG00000006712,CD1_Gandal
ENSG00000006715,CD5_Gandal
ENSG00000006740,CD1_Gandal
ENSG00000006744,CD1_Gandal
ENSG00000006747,CD0_Gandal
ENSG00000006756,CD0_Gandal
ENSG00000006757,CD0_Gandal
ENSG00000006788,CD6_Gandal
ENSG00000006831,CD3_Gandal
ENSG00000006837,CD0_Gandal
ENSG00000007038,CD2_Gandal
ENSG00000007047,CD1_Gandal
ENSG00000007062,CD0_Gandal
ENSG00000007129,CD2_Gandal
ENSG00000007168,CD5_Gandal
ENSG00000007171,CD1_Gandal
ENSG00000007174,CD0_Gandal
ENSG00000007202,CD1_Gandal
ENSG00000007216,CD2_Gandal
ENSG00000007237,CD1_Gandal
ENSG00000007255,CD0_Gandal
ENSG00000007264,CD1_Gandal
ENSG00000007306,CD0_Gandal
ENSG00000007312,CD6_Gandal
ENSG00000007314,CD2_Gandal
ENSG00000007341,CD0_Gandal
ENSG00000007350,CD2_Gandal
ENSG00000007372,CD4_Gandal
ENSG00000007384,CD4_Gandal
ENSG00000007392,CD0_Gandal
ENSG00000007402,CD1_Gandal
ENSG00000007516,CD1_Gandal
ENSG00000007520,CD1_Gandal
ENSG00000007541,CD0_Gandal
ENSG00000007866,CD0_Gandal
ENSG00000007908,CD0_Gandal
ENSG00000007923,CD1_Gandal
ENSG00000007933,CD0_Gandal
ENSG00000007944,CD3_Gandal
ENSG00000007952,CD2_Gandal
ENSG00000007968,CD2_Gandal
ENSG00000008018,CD0_Gandal
ENSG00000008056,CD1_Gandal
ENSG00000008083,CD0_Gandal
ENSG00000008086,CD0_Gandal
ENSG00000008118,CD1_Gandal
ENSG00000008196,CD0_Gandal
ENSG00000008226,CD2_Gandal
ENSG00000008256,CD1_Gandal
ENSG00000008277,CD13_Gandal
ENSG00000008282,CD3_Gandal
ENSG00000008283,CD1_Gandal
ENSG00000008294,CD3_Gandal
ENSG00000008300,CD1_Gandal
ENSG00000008311,CD3_Gandal
ENSG00000008323,CD2_Gandal
ENSG00000008324,CD0_Gandal
ENSG00000008405,CD0_Gandal
ENSG00000008438,CD2_Gandal
ENSG00000008441,CD9_Gandal
ENSG00000008513,CD1_Gandal
ENSG00000008516,CD6_Gandal
ENSG00000008517,CD0_Gandal
ENSG00000008710,CD1_Gandal
ENSG00000008735,CD1_Gandal
ENSG00000008838,CD1_Gandal
ENSG00000008853,CD1_Gandal
ENSG00000008952,CD7_Gandal
ENSG00000009307,CD0_Gandal
ENSG00000009413,CD0_Gandal
ENSG00000009694,CD0_Gandal
ENSG00000009709,CD0_Gandal
ENSG00000009724,CD2_Gandal
ENSG00000009780,CD0_Gandal
ENSG00000009790,CD0_Gandal
ENSG00000009830,CD4_Gandal
ENSG00000009950,CD8_Gandal
ENSG00000009954,CD9_Gandal
ENSG00000010017,CD5_Gandal
ENSG00000010165,CD5_Gandal
ENSG00000010219,CD0_Gandal
ENSG00000010244,CD0_Gandal
ENSG00000010256,CD10_Gandal
ENSG00000010278,CD3_Gandal
ENSG00000010292,CD3_Gandal
ENSG00000010295,CD1_Gandal
ENSG00000010310,CD2_Gandal
ENSG00000010318,CD0_Gandal
ENSG00000010319,CD12_Gandal
ENSG00000010322,CD1_Gandal
