Ensembl,Module
ENSG00000000003,lightyellow_Lin
ENSG00000000005,turquoise_Lin
ENSG00000000419,turquoise_Lin
ENSG00000000457,yellow_Lin
ENSG00000000460,turquoise_Lin
ENSG00000000971,yellow_Lin
ENSG00000001036,blue_Lin
ENSG00000001084,turquoise_Lin
ENSG00000001167,turquoise_Lin
ENSG00000001460,yellow_Lin
ENSG00000001461,salmon_Lin
ENSG00000001497,brown_Lin
ENSG00000001561,turquoise_Lin
ENSG00000001617,turquoise_Lin
ENSG00000001629,green_Lin
ENSG00000001630,yellow_Lin
ENSG00000001631,yellow_Lin
ENSG00000002016,turquoise_Lin
ENSG00000002330,red_Lin
ENSG00000002549,turquoise_Lin
ENSG00000002587,pink_Lin
ENSG00000002745,turquoise_Lin
ENSG00000002746,blue_Lin
ENSG00000002822,greenyellow_Lin
ENSG00000002834,turquoise_Lin
ENSG00000002919,turquoise_Lin
ENSG00000002933,red_Lin
ENSG00000003056,brown_Lin
ENSG00000003096,yellow_Lin
ENSG00000003137,lightcyan_Lin
ENSG00000003147,green_Lin
ENSG00000003249,turquoise_Lin
ENSG00000003393,turquoise_Lin
ENSG00000003402,darkred_Lin
ENSG00000003436,yellow_Lin
ENSG00000003509,turquoise_Lin
ENSG00000003756,brown_Lin
ENSG00000003987,blue_Lin
ENSG00000003989,turquoise_Lin
ENSG00000004059,tan_Lin
ENSG00000004139,blue_Lin
ENSG00000004142,pink_Lin
ENSG00000004399,turquoise_Lin
ENSG00000004455,blue_Lin
ENSG00000004478,blue_Lin
ENSG00000004487,turquoise_Lin
ENSG00000004534,white_Lin
ENSG00000004660,turquoise_Lin
ENSG00000004700,turquoise_Lin
ENSG00000004766,brown_Lin
ENSG00000004776,turquoise_Lin
ENSG00000004777,blue_Lin
ENSG00000004779,turquoise_Lin
ENSG00000004799,turquoise_Lin
ENSG00000004838,purple_Lin
ENSG00000004864,turquoise_Lin
ENSG00000004866,turquoise_Lin
ENSG00000004897,turquoise_Lin
ENSG00000004948,turquoise_Lin
ENSG00000004961,lightcyan_Lin
ENSG00000004975,turquoise_Lin
ENSG00000005007,brown_Lin
ENSG00000005020,red_Lin
ENSG00000005022,greenyellow_Lin
ENSG00000005059,purple_Lin
ENSG00000005073,turquoise_Lin
ENSG00000005075,turquoise_Lin
ENSG00000005100,turquoise_Lin
ENSG00000005102,turquoise_Lin
ENSG00000005108,blue_Lin
ENSG00000005156,green_Lin
ENSG00000005175,red_Lin
ENSG00000005187,turquoise_Lin
ENSG00000005189,turquoise_Lin
ENSG00000005194,turquoise_Lin
ENSG00000005206,brown_Lin
ENSG00000005238,darkred_Lin
ENSG00000005243,turquoise_Lin
ENSG00000005249,blue_Lin
ENSG00000005302,yellow_Lin
ENSG00000005339,turquoise_Lin
ENSG00000005379,blue_Lin
ENSG00000005436,blue_Lin
ENSG00000005448,brown_Lin
ENSG00000005469,turquoise_Lin
ENSG00000005471,turquoise_Lin
ENSG00000005483,turquoise_Lin
ENSG00000005486,blue_Lin
ENSG00000005513,pink_Lin
ENSG00000005700,yellow_Lin
ENSG00000005801,turquoise_Lin
ENSG00000005810,blue_Lin
ENSG00000005812,turquoise_Lin
