Ensembl,Module
ENSG00000000003,M0_Parikshak2013
ENSG00000000005,M0_Parikshak2013
ENSG00000000419,M0_Parikshak2013
ENSG00000000457,M0_Parikshak2013
ENSG00000000460,M11_Parikshak2013
ENSG00000000938,M0_Parikshak2013
ENSG00000000971,M18_Parikshak2013
ENSG00000001036,M1_Parikshak2013
ENSG00000001084,M4_Parikshak2013
ENSG00000001167,M3_Parikshak2013
ENSG00000001460,M13_Parikshak2013
ENSG00000001461,M0_Parikshak2013
ENSG00000001497,M0_Parikshak2013
ENSG00000001561,M0_Parikshak2013
ENSG00000001617,M3_Parikshak2013
ENSG00000001629,M0_Parikshak2013
ENSG00000001630,M0_Parikshak2013
ENSG00000001631,M0_Parikshak2013
ENSG00000002016,M6_Parikshak2013
ENSG00000002330,M4_Parikshak2013
ENSG00000002549,M0_Parikshak2013
ENSG00000002587,M0_Parikshak2013
ENSG00000002745,M18_Parikshak2013
ENSG00000002746,M0_Parikshak2013
ENSG00000002822,M14_Parikshak2013
ENSG00000002834,M5_Parikshak2013
ENSG00000002919,M0_Parikshak2013
ENSG00000002933,M0_Parikshak2013
ENSG00000003056,M17_Parikshak2013
ENSG00000003096,M0_Parikshak2013
ENSG00000003137,M0_Parikshak2013
ENSG00000003147,M17_Parikshak2013
ENSG00000003249,M0_Parikshak2013
ENSG00000003393,M0_Parikshak2013
ENSG00000003400,M0_Parikshak2013
ENSG00000003402,M0_Parikshak2013
ENSG00000003436,M18_Parikshak2013
ENSG00000003509,M0_Parikshak2013
ENSG00000003756,M6_Parikshak2013
ENSG00000003987,M16_Parikshak2013
ENSG00000003989,M18_Parikshak2013
ENSG00000004059,M0_Parikshak2013
ENSG00000004139,M0_Parikshak2013
ENSG00000004142,M0_Parikshak2013
ENSG00000004399,M0_Parikshak2013
ENSG00000004455,M8_Parikshak2013
ENSG00000004468,M15_Parikshak2013
ENSG00000004478,M9_Parikshak2013
ENSG00000004487,M3_Parikshak2013
ENSG00000004534,M6_Parikshak2013
ENSG00000004660,M17_Parikshak2013
