"Ensembl","Module"
"ENSG00000005243","mod7_Gupta"
"ENSG00000120533","mod0_Gupta"
"ENSG00000143815","mod5_Gupta"
"ENSG00000236264","mod0_Gupta"
"ENSG00000149476","mod0_Gupta"
"ENSG00000163288","mod0_Gupta"
"ENSG00000011600","mod11_Gupta"
"ENSG00000110442","mod10_Gupta"
"ENSG00000004142","mod6_Gupta"
"ENSG00000100441","mod5_Gupta"
"ENSG00000187239","mod3_Gupta"
"ENSG00000065534","mod3_Gupta"
"ENSG00000124313","mod2_Gupta"
"ENSG00000091732","mod0_Gupta"
"ENSG00000095319","mod3_Gupta"
"ENSG00000173264","mod0_Gupta"
"ENSG00000122545","mod3_Gupta"
"ENSG00000105875","mod0_Gupta"
"ENSG00000163683","mod9_Gupta"
"ENSG00000175115","mod2_Gupta"
"ENSG00000101335","mod0_Gupta"
"ENSG00000148826","mod3_Gupta"
"ENSG00000075539","mod3_Gupta"
"ENSG00000146556","mod0_Gupta"
"ENSG00000109466","mod0_Gupta"
"ENSG00000148082","mod1_Gupta"
"ENSG00000007520","mod4_Gupta"
"ENSG00000108278","mod0_Gupta"
"ENSG00000169900","mod0_Gupta"
"ENSG00000151948","mod1_Gupta"
"ENSG00000148572","mod2_Gupta"
"ENSG00000213213","mod0_Gupta"
"ENSG00000146411","mod0_Gupta"
"ENSG00000213337","mod1_Gupta"
"ENSG00000100242","mod3_Gupta"
"ENSG00000223482","mod0_Gupta"
"ENSG00000164548","mod0_Gupta"
"ENSG00000108826","mod9_Gupta"
"ENSG00000124172","mod4_Gupta"
"ENSG00000113810","mod5_Gupta"
"ENSG00000124608","mod2_Gupta"
"ENSG00000225131","mod5_Gupta"
"ENSG00000168040","mod0_Gupta"
"ENSG00000004799","mod7_Gupta"
"ENSG00000215908","mod1_Gupta"
"ENSG00000155265","mod1_Gupta"
"ENSG00000107185","mod2_Gupta"
"ENSG00000163319","mod0_Gupta"
"ENSG00000130312","mod0_Gupta"
"ENSG00000132932","mod6_Gupta"
"ENSG00000112237","mod0_Gupta"
"ENSG00000007516","mod0_Gupta"
"ENSG00000189223","mod0_Gupta"
"ENSG00000175643","mod0_Gupta"
"ENSG00000269696","mod0_Gupta"
"ENSG00000198157","mod9_Gupta"
"ENSG00000006740","mod2_Gupta"
"ENSG00000127588","mod1_Gupta"
"ENSG00000261594","mod2_Gupta"
"ENSG00000122958","mod0_Gupta"
"ENSG00000149932","mod4_Gupta"
"ENSG00000138834","mod2_Gupta"
"ENSG00000227081","mod4_Gupta"
"ENSG00000138193","mod5_Gupta"
"ENSG00000162231","mod0_Gupta"
"ENSG00000072864","mod3_Gupta"
"ENSG00000180992","mod4_Gupta"
"ENSG00000161542","mod0_Gupta"
"ENSG00000230457","mod8_Gupta"
"ENSG00000013573","mod0_Gupta"
"ENSG00000214253","mod4_Gupta"
"ENSG00000126581","mod0_Gupta"
"ENSG00000130529","mod0_Gupta"
"ENSG00000101367","mod7_Gupta"
"ENSG00000152332","mod0_Gupta"
"ENSG00000078687","mod9_Gupta"
"ENSG00000163162","mod0_Gupta"
"ENSG00000232626","mod12_Gupta"
"ENSG00000236279","mod1_Gupta"
"ENSG00000159788","mod1_Gupta"
"ENSG00000125510","mod1_Gupta"
"ENSG00000119559","mod4_Gupta"
"ENSG00000105464","mod2_Gupta"
"ENSG00000139174","mod1_Gupta"
"ENSG00000120697","mod0_Gupta"
"ENSG00000248487","mod1_Gupta"
"ENSG00000164112","mod1_Gupta"
"ENSG00000165533","mod0_Gupta"
"ENSG00000076662","mod0_Gupta"
