Ensembl,Module
ENSG00000175899,M12_Lombardo
ENSG00000128274,M24_Lombardo
ENSG00000094914,M1_Lombardo
ENSG00000081760,M3_Lombardo
ENSG00000127837,M0_Lombardo
ENSG00000090861,M9_Lombardo
ENSG00000266967,M3_Lombardo
ENSG00000157426,M0_Lombardo
ENSG00000149313,M3_Lombardo
ENSG00000275700,M1_Lombardo
ENSG00000276072,M1_Lombardo
ENSG00000181409,M0_Lombardo
ENSG00000183044,M0_Lombardo
ENSG00000165029,M1_Lombardo
ENSG00000107331,M1_Lombardo
ENSG00000167972,M13_Lombardo
ENSG00000154265,M9_Lombardo
ENSG00000154262,M0_Lombardo
ENSG00000064687,M13_Lombardo
ENSG00000085563,M27_Lombardo
ENSG00000115657,M13_Lombardo
ENSG00000131269,M1_Lombardo
ENSG00000150967,M13_Lombardo
ENSG00000124574,M1_Lombardo
ENSG00000140798,M14_Lombardo
ENSG00000114770,M9_Lombardo
ENSG00000006071,M13_Lombardo
ENSG00000164163,M0_Lombardo
ENSG00000236149,M0_Lombardo
ENSG00000204574,M0_Lombardo
ENSG00000232169,M0_Lombardo
ENSG00000231129,M0_Lombardo
ENSG00000236342,M0_Lombardo
ENSG00000206490,M0_Lombardo
ENSG00000225989,M0_Lombardo
ENSG00000033050,M9_Lombardo
ENSG00000285292,M9_Lombardo
ENSG00000161204,M3_Lombardo
ENSG00000160179,M1_Lombardo
ENSG00000118777,M0_Lombardo
ENSG00000172350,M9_Lombardo
ENSG00000144827,M9_Lombardo
ENSG00000100997,M0_Lombardo
ENSG00000248487,M3_Lombardo
ENSG00000140526,M1_Lombardo
ENSG00000158201,M24_Lombardo
ENSG00000100439,M1_Lombardo
ENSG00000011198,M24_Lombardo
ENSG00000163686,M0_Lombardo
ENSG00000127220,M13_Lombardo
ENSG00000136754,M0_Lombardo
ENSG00000138443,M26_Lombardo
ENSG00000108798,M12_Lombardo
ENSG00000154175,M1_Lombardo
ENSG00000097007,M1_Lombardo
ENSG00000099204,M1_Lombardo
ENSG00000163995,M9_Lombardo
ENSG00000173210,M0_Lombardo
ENSG00000159842,M3_Lombardo
ENSG00000278741,M3_Lombardo
ENSG00000276016,M3_Lombardo
ENSG00000114626,M13_Lombardo
ENSG00000166016,M1_Lombardo
ENSG00000060971,M25_Lombardo
ENSG00000167315,M1_Lombardo
ENSG00000278540,M0_Lombardo
ENSG00000275176,M0_Lombardo
ENSG00000076555,M1_Lombardo
ENSG00000111271,M0_Lombardo
ENSG00000151498,M26_Lombardo
ENSG00000177646,M0_Lombardo
ENSG00000117054,M1_Lombardo
ENSG00000122971,M1_Lombardo
ENSG00000072778,M1_Lombardo
ENSG00000075239,M26_Lombardo
ENSG00000182827,M0_Lombardo
ENSG00000181513,M1_Lombardo
ENSG00000107897,M0_Lombardo
ENSG00000230124,M26_Lombardo
ENSG00000176244,M1_Lombardo
ENSG00000102977,M0_Lombardo
ENSG00000087085,M3_Lombardo
ENSG00000100813,M1_Lombardo
ENSG00000131473,M0_Lombardo
ENSG00000122729,M1_Lombardo
ENSG00000100412,M0_Lombardo
ENSG00000184227,M26_Lombardo
ENSG00000162390,M0_Lombardo
ENSG00000177465,M14_Lombardo
ENSG00000097021,M3_Lombardo
ENSG00000101473,M3_Lombardo
ENSG00000123130,M0_Lombardo
ENSG00000161533,M1_Lombardo
ENSG00000087008,M0_Lombardo
ENSG00000143727,M26_Lombardo
ENSG00000134575,M26_Lombardo
ENSG00000162836,M0_Lombardo
NA,M3_Lombardo
ENSG00000103740,M1_Lombardo
ENSG00000151726,M0_Lombardo
ENSG00000123983,M3_Lombardo
ENSG00000068366,M3_Lombardo
ENSG00000197142,M24_Lombardo
ENSG00000154930,M1_Lombardo
ENSG00000131069,M1_Lombardo
ENSG00000143632,M14_Lombardo
ENSG00000107796,M0_Lombardo
ENSG00000075624,M3_Lombardo
ENSG00000184009,M26_Lombardo
ENSG00000136518,M1_Lombardo
ENSG00000077080,M3_Lombardo
ENSG00000072110,M13_Lombardo
ENSG00000077522,M3_Lombardo
ENSG00000130402,M1_Lombardo
ENSG00000282844,M1_Lombardo
ENSG00000131966,M26_Lombardo
ENSG00000138107,M13_Lombardo
ENSG00000115073,M14_Lombardo
ENSG00000138071,M3_Lombardo
ENSG00000115091,M0_Lombardo
ENSG00000133627,M3_Lombardo
ENSG00000101442,M0_Lombardo
ENSG00000075089,M0_Lombardo
ENSG00000113812,M0_Lombardo
ENSG00000115170,M0_Lombardo
ENSG00000135503,M9_Lombardo
ENSG00000121989,M9_Lombardo
ENSG00000119640,M3_Lombardo
ENSG00000170634,M26_Lombardo
ENSG00000196839,M1_Lombardo
ENSG00000168803,M0_Lombardo
ENSG00000073670,M13_Lombardo
ENSG00000143537,M1_Lombardo
