Ensembl,Module
ENSG00000283867,grey_Mariani
ENSG00000275568,turquoise_Mariani
ENSG00000281024,turquoise_Mariani
ENSG00000278232,magenta_Mariani
ENSG00000274672,yellow_Mariani
ENSG00000199436,grey_Mariani
ENSG00000284191,royalblue_Mariani
ENSG00000208025,grey_Mariani
ENSG00000221537,grey_Mariani
ENSG00000223224,turquoise_Mariani
ENSG00000207647,brown_Mariani
ENSG00000283899,turquoise_Mariani
ENSG00000199961,grey_Mariani
ENSG00000207145,grey_Mariani
ENSG00000212464,turquoise_Mariani
ENSG00000251896,grey_Mariani
ENSG00000207559,grey_Mariani
ENSG00000274566,pink_Mariani
ENSG00000284146,pink_Mariani
ENSG00000200785,green_Mariani
ENSG00000206775,grey_Mariani
ENSG00000198983,grey_Mariani
ENSG00000200084,red_Mariani
ENSG00000207719,grey_Mariani
ENSG00000207805,green_Mariani
ENSG00000221028,black_Mariani
ENSG00000265754,grey_Mariani
ENSG00000263994,grey_Mariani
ENSG00000275072,green_Mariani
ENSG00000277985,grey_Mariani
ENSG00000198888,green_Mariani
ENSG00000198763,grey_Mariani
ENSG00000198804,grey_Mariani
ENSG00000198712,grey_Mariani
ENSG00000198899,green_Mariani
ENSG00000198938,green_Mariani
ENSG00000198840,green_Mariani
ENSG00000212907,grey_Mariani
ENSG00000198886,yellow_Mariani
ENSG00000275474,lightcyan_Mariani
ENSG00000198786,lightcyan_Mariani
ENSG00000198695,lightcyan_Mariani
ENSG00000198727,yellow_Mariani
ENSG00000280858,red_Mariani
ENSG00000277401,red_Mariani
ENSG00000206630,green_Mariani
ENSG00000285224,magenta_Mariani
ENSG00000266419,midnightblue_Mariani
ENSG00000207008,grey_Mariani
ENSG00000221241,grey_Mariani
ENSG00000221420,red_Mariani
ENSG00000278322,yellow_Mariani
ENSG00000278378,grey_Mariani
ENSG00000275796,grey_Mariani
ENSG00000278712,yellow_Mariani
ENSG00000220988,red_Mariani
ENSG00000281309,red_Mariani
ENSG00000207468,turquoise_Mariani
ENSG00000142530,greenyellow_Mariani
ENSG00000086967,grey_Mariani
ENSG00000142552,green_Mariani
ENSG00000103642,grey_Mariani
ENSG00000170855,red_Mariani
ENSG00000105732,turquoise_Mariani
ENSG00000137955,green_Mariani
ENSG00000143224,cyan_Mariani
ENSG00000134285,yellow_Mariani
ENSG00000165259,blue_Mariani
ENSG00000172602,grey_Mariani
ENSG00000196074,grey_Mariani
ENSG00000167962,grey_Mariani
ENSG00000204983,green_Mariani
ENSG00000225412,grey_Mariani
ENSG00000167535,brown_Mariani
ENSG00000113296,turquoise_Mariani
ENSG00000168813,turquoise_Mariani
ENSG00000159214,grey60_Mariani
ENSG00000185437,grey_Mariani
ENSG00000231500,red_Mariani
ENSG00000198860,turquoise_Mariani
ENSG00000150433,black_Mariani
ENSG00000182093,blue_Mariani
ENSG00000157379,grey_Mariani
ENSG00000108576,purple_Mariani
ENSG00000223501,salmon_Mariani
ENSG00000116791,grey_Mariani
ENSG00000139990,cyan_Mariani
ENSG00000160691,greenyellow_Mariani
ENSG00000116667,yellow_Mariani
ENSG00000267213,grey_Mariani
ENSG00000178904,turquoise_Mariani
ENSG00000170264,black_Mariani
ENSG00000116406,purple_Mariani
ENSG00000165105,purple_Mariani
ENSG00000232940,salmon_Mariani
ENSG00000162623,turquoise_Mariani
ENSG00000135842,grey_Mariani
ENSG00000119403,salmon_Mariani
ENSG00000129351,turquoise_Mariani
ENSG00000121481,lightyellow_Mariani
ENSG00000162624,green_Mariani
ENSG00000074219,turquoise_Mariani
ENSG00000121486,turquoise_Mariani
ENSG00000206245,grey_Mariani
ENSG00000215845,green_Mariani
ENSG00000103194,turquoise_Mariani
ENSG00000158769,green_Mariani
ENSG00000135914,greenyellow_Mariani
