Ensembl,Module
ENSG00000000003,9_Parikshak2016
ENSG00000000419,11_Parikshak2016
ENSG00000000457,11_Parikshak2016
ENSG00000000460,11_Parikshak2016
ENSG00000000938,19_Parikshak2016
ENSG00000000971,19_Parikshak2016
ENSG00000001036,15_Parikshak2016
ENSG00000001084,2_Parikshak2016
ENSG00000001167,2_Parikshak2016
ENSG00000001460,11_Parikshak2016
ENSG00000001461,2_Parikshak2016
ENSG00000001497,6_Parikshak2016
ENSG00000001561,2_Parikshak2016
ENSG00000001617,11_Parikshak2016
ENSG00000001626,2_Parikshak2016
ENSG00000001629,2_Parikshak2016
ENSG00000001631,8_Parikshak2016
ENSG00000002016,23_Parikshak2016
ENSG00000002330,12_Parikshak2016
ENSG00000002549,19_Parikshak2016
ENSG00000002586,19_Parikshak2016
ENSG00000002587,11_Parikshak2016
ENSG00000002745,11_Parikshak2016
ENSG00000002746,10_Parikshak2016
ENSG00000002822,11_Parikshak2016
ENSG00000002834,25_Parikshak2016
ENSG00000002919,11_Parikshak2016
ENSG00000002933,15_Parikshak2016
ENSG00000003056,3_Parikshak2016
ENSG00000003096,25_Parikshak2016
ENSG00000003137,11_Parikshak2016
ENSG00000003147,11_Parikshak2016
ENSG00000003249,25_Parikshak2016
ENSG00000003393,11_Parikshak2016
ENSG00000003400,18_Parikshak2016
ENSG00000003402,19_Parikshak2016
ENSG00000003509,11_Parikshak2016
ENSG00000003756,24_Parikshak2016
ENSG00000003987,3_Parikshak2016
ENSG00000003989,9_Parikshak2016
ENSG00000004139,24_Parikshak2016
ENSG00000004142,3_Parikshak2016
ENSG00000004399,22_Parikshak2016
ENSG00000004455,15_Parikshak2016
ENSG00000004468,9_Parikshak2016
ENSG00000004478,11_Parikshak2016
ENSG00000004487,3_Parikshak2016
ENSG00000004534,11_Parikshak2016
ENSG00000004660,11_Parikshak2016
ENSG00000004700,11_Parikshak2016
ENSG00000004766,3_Parikshak2016
ENSG00000004776,24_Parikshak2016
ENSG00000004777,22_Parikshak2016
ENSG00000064999,11_Parikshak2016
ENSG00000166006,3_Parikshak2016
ENSG00000004848,11_Parikshak2016
ENSG00000004864,2_Parikshak2016
ENSG00000004866,11_Parikshak2016
ENSG00000004897,3_Parikshak2016
ENSG00000123643,17_Parikshak2016
ENSG00000004975,2_Parikshak2016
ENSG00000005007,2_Parikshak2016
ENSG00000005020,25_Parikshak2016
ENSG00000005022,11_Parikshak2016
ENSG00000005059,18_Parikshak2016
ENSG00000005075,11_Parikshak2016
ENSG00000005100,11_Parikshak2016
ENSG00000005108,25_Parikshak2016
ENSG00000005156,1_Parikshak2016
ENSG00000005175,11_Parikshak2016
ENSG00000005194,3_Parikshak2016
ENSG00000005238,2_Parikshak2016
ENSG00000005243,11_Parikshak2016
ENSG00000005249,3_Parikshak2016
ENSG00000005302,11_Parikshak2016
ENSG00000005339,24_Parikshak2016
ENSG00000005379,20_Parikshak2016
ENSG00000005381,11_Parikshak2016
ENSG00000005421,24_Parikshak2016
ENSG00000005436,11_Parikshak2016
ENSG00000005448,11_Parikshak2016
ENSG00000005469,11_Parikshak2016
ENSG00000005471,11_Parikshak2016
ENSG00000005483,24_Parikshak2016
ENSG00000005486,16_Parikshak2016
ENSG00000005513,2_Parikshak2016
ENSG00000005700,2_Parikshak2016
ENSG00000005801,11_Parikshak2016
ENSG00000005810,3_Parikshak2016
ENSG00000005812,5_Parikshak2016
ENSG00000005844,18_Parikshak2016
ENSG00000005882,11_Parikshak2016
ENSG00000005884,11_Parikshak2016
ENSG00000005889,11_Parikshak2016
ENSG00000005893,2_Parikshak2016
ENSG00000005955,1_Parikshak2016
ENSG00000005961,8_Parikshak2016
ENSG00000005981,14_Parikshak2016
ENSG00000006007,3_Parikshak2016
ENSG00000006016,1_Parikshak2016
ENSG00000006025,24_Parikshak2016
ENSG00000006042,2_Parikshak2016
ENSG00000006047,22_Parikshak2016
ENSG00000006062,24_Parikshak2016
ENSG00000006071,13_Parikshak2016
ENSG00000006114,2_Parikshak2016
ENSG00000006116,17_Parikshak2016
ENSG00000006118,25_Parikshak2016
ENSG00000006125,17_Parikshak2016
ENSG00000006128,12_Parikshak2016
ENSG00000006194,5_Parikshak2016
ENSG00000006210,25_Parikshak2016
ENSG00000006282,11_Parikshak2016
ENSG00000006283,25_Parikshak2016
ENSG00000006432,16_Parikshak2016
ENSG00000006451,20_Parikshak2016
ENSG00000006453,23_Parikshak2016
ENSG00000006459,20_Parikshak2016
ENSG00000006468,11_Parikshak2016
ENSG00000006530,4_Parikshak2016
ENSG00000006534,11_Parikshak2016
ENSG00000006555,11_Parikshak2016
ENSG00000006576,11_Parikshak2016
ENSG00000006607,2_Parikshak2016
ENSG00000006611,2_Parikshak2016
ENSG00000128989,25_Parikshak2016
ENSG00000006634,11_Parikshak2016
ENSG00000006652,11_Parikshak2016
ENSG00000006695,11_Parikshak2016
ENSG00000006704,24_Parikshak2016
ENSG00000006712,11_Parikshak2016
ENSG00000006715,17_Parikshak2016
ENSG00000006740,25_Parikshak2016
ENSG00000006744,3_Parikshak2016
