Ensembl,Module
ENSG00000001631,black_Roussos
ENSG00000004866,black_Roussos
ENSG00000004975,black_Roussos
ENSG00000005189,black_Roussos
ENSG00000005486,black_Roussos
ENSG00000006453,black_Roussos
ENSG00000007202,black_Roussos
ENSG00000007384,black_Roussos
ENSG00000008256,black_Roussos
ENSG00000009335,black_Roussos
ENSG00000009844,black_Roussos
ENSG00000010219,black_Roussos
ENSG00000011007,black_Roussos
ENSG00000011028,black_Roussos
ENSG00000011523,black_Roussos
ENSG00000012822,black_Roussos
ENSG00000020426,black_Roussos
ENSG00000020922,black_Roussos
ENSG00000022277,black_Roussos
ENSG00000025039,black_Roussos
ENSG00000032742,black_Roussos
ENSG00000034152,black_Roussos
ENSG00000039650,black_Roussos
ENSG00000040275,black_Roussos
ENSG00000042088,black_Roussos
ENSG00000042317,black_Roussos
ENSG00000043514,black_Roussos
ENSG00000049130,black_Roussos
ENSG00000049245,black_Roussos
ENSG00000051825,black_Roussos
ENSG00000053438,black_Roussos
ENSG00000055950,black_Roussos
ENSG00000056097,black_Roussos
ENSG00000061987,black_Roussos
ENSG00000062650,black_Roussos
ENSG00000063245,black_Roussos
ENSG00000064115,black_Roussos
ENSG00000064933,black_Roussos
ENSG00000065802,black_Roussos
ENSG00000066044,black_Roussos
ENSG00000066135,black_Roussos
ENSG00000066136,black_Roussos
ENSG00000066651,black_Roussos
ENSG00000067082,black_Roussos
ENSG00000068137,black_Roussos
ENSG00000068366,black_Roussos
ENSG00000068793,black_Roussos
ENSG00000070423,black_Roussos
ENSG00000070718,black_Roussos
ENSG00000070761,black_Roussos
ENSG00000070814,black_Roussos
ENSG00000071051,black_Roussos
ENSG00000071054,black_Roussos
ENSG00000071994,black_Roussos
ENSG00000072958,black_Roussos
ENSG00000074181,black_Roussos
ENSG00000075426,black_Roussos
ENSG00000075711,black_Roussos
ENSG00000076924,black_Roussos
ENSG00000076928,black_Roussos
ENSG00000076984,black_Roussos
ENSG00000077044,black_Roussos
ENSG00000077549,black_Roussos
ENSG00000078808,black_Roussos
ENSG00000079313,black_Roussos
ENSG00000081307,black_Roussos
ENSG00000082146,black_Roussos
ENSG00000084072,black_Roussos
ENSG00000085871,black_Roussos
ENSG00000086200,black_Roussos
ENSG00000087365,black_Roussos
ENSG00000087460,black_Roussos
ENSG00000087510,black_Roussos
ENSG00000088247,black_Roussos
ENSG00000088256,black_Roussos
ENSG00000089006,black_Roussos
ENSG00000089902,black_Roussos
ENSG00000090006,black_Roussos
ENSG00000090020,black_Roussos
ENSG00000090316,black_Roussos
ENSG00000090989,black_Roussos
ENSG00000095015,black_Roussos
ENSG00000095739,black_Roussos
ENSG00000096384,black_Roussos
ENSG00000099624,black_Roussos
ENSG00000099864,black_Roussos
ENSG00000099904,black_Roussos
ENSG00000100099,black_Roussos
ENSG00000100105,black_Roussos
ENSG00000100225,black_Roussos
ENSG00000100227,black_Roussos
ENSG00000100320,black_Roussos
ENSG00000100626,black_Roussos
ENSG00000100813,black_Roussos
ENSG00000100949,black_Roussos
ENSG00000101040,black_Roussos
ENSG00000101198,black_Roussos
ENSG00000101216,black_Roussos
ENSG00000101421,black_Roussos
ENSG00000101751,black_Roussos
ENSG00000101843,black_Roussos
