Ensembl,Module
ENSG00000121410,brown4_Schafer
ENSG00000268895,brown4_Schafer
ENSG00000148584,tan_Schafer
ENSG00000175899,brown4_Schafer
ENSG00000245105,black_Schafer
ENSG00000166535,black_Schafer
ENSG00000256069,black_Schafer
ENSG00000184389,black_Schafer
ENSG00000128274,brown4_Schafer
ENSG00000118017,floralwhite_Schafer
ENSG00000094914,brown4_Schafer
ENSG00000081760,brown4_Schafer
ENSG00000250420,black_Schafer
ENSG00000114771,lightsteelblue1_Schafer
ENSG00000204518,skyblue3_Schafer
ENSG00000240602,tan_Schafer
ENSG00000109576,black_Schafer
ENSG00000103591,saddlebrown_Schafer
ENSG00000115977,black_Schafer
ENSG00000087884,brown4_Schafer
ENSG00000127837,brown4_Schafer
ENSG00000129673,brown4_Schafer
ENSG00000131043,brown4_Schafer
ENSG00000205002,tan_Schafer
ENSG00000090861,brown4_Schafer
ENSG00000124608,brown4_Schafer
ENSG00000266967,brown4_Schafer
ENSG00000157426,black_Schafer
ENSG00000149313,black_Schafer
ENSG00000008311,black_Schafer
ENSG00000215458,tan_Schafer
ENSG00000276072,brown4_Schafer
ENSG00000275700,brown4_Schafer
ENSG00000181409,lightyellow_Schafer
ENSG00000183044,black_Schafer
ENSG00000165029,black_Schafer
ENSG00000154263,black_Schafer
ENSG00000251595,black_Schafer
ENSG00000144452,black_Schafer
ENSG00000179869,black_Schafer
ENSG00000238098,brown4_Schafer
ENSG00000107331,lightyellow_Schafer
ENSG00000167972,lightyellow_Schafer
ENSG00000198691,brown4_Schafer
ENSG00000154265,black_Schafer
ENSG00000154262,black_Schafer
ENSG00000064687,lightyellow_Schafer
ENSG00000141338,black_Schafer
ENSG00000154258,magenta_Schafer
ENSG00000231749,brown4_Schafer
ENSG00000085563,saddlebrown_Schafer
ENSG00000135776,black_Schafer
ENSG00000073734,black_Schafer
ENSG00000276582,black_Schafer
ENSG00000005471,magenta_Schafer
ENSG00000004846,magenta_Schafer
ENSG00000115657,brown4_Schafer
ENSG00000131269,black_Schafer
ENSG00000197150,brown4_Schafer
ENSG00000150967,lightyellow_Schafer
ENSG00000103222,brown4_Schafer
ENSG00000278183,brown4_Schafer
ENSG00000124574,brown4_Schafer
ENSG00000121270,black_Schafer
ENSG00000140798,salmon_Schafer
ENSG00000023839,tan_Schafer
ENSG00000108846,tan_Schafer
ENSG00000125257,black_Schafer
ENSG00000114770,lightcyan1_Schafer
