Ensembl,Module
ENSG00000121410,grey_Tylee
ENSG00000148584,grey_Tylee
ENSG00000175899,grey_Tylee
ENSG00000166535,grey_Tylee
ENSG00000128274,grey_Tylee
ENSG00000118017,grey_Tylee
ENSG00000094914,green_Tylee
ENSG00000081760,grey_Tylee
ENSG00000114771,grey_Tylee
ENSG00000261846,grey_Tylee
ENSG00000197953,grey_Tylee
ENSG00000109576,grey_Tylee
ENSG00000115977,grey_Tylee
ENSG00000087884,grey_Tylee
ENSG00000127837,lightgreen_Tylee
ENSG00000129673,grey_Tylee
ENSG00000131043,darkgreen_Tylee
ENSG00000090861,green_Tylee
ENSG00000124608,red_Tylee
ENSG00000157426,turquoise_Tylee
ENSG00000149313,turquoise_Tylee
ENSG00000008311,grey_Tylee
ENSG00000276072,lightgreen_Tylee
ENSG00000275700,lightgreen_Tylee
ENSG00000181409,blue_Tylee
ENSG00000183044,blue_Tylee
ENSG00000165029,red_Tylee
ENSG00000144452,grey_Tylee
ENSG00000107331,yellow_Tylee
ENSG00000167972,grey_Tylee
ENSG00000198691,grey_Tylee
ENSG00000154265,turquoise_Tylee
ENSG00000154262,grey_Tylee
ENSG00000064687,grey_Tylee
ENSG00000154258,grey_Tylee
ENSG00000085563,turquoise_Tylee
ENSG00000135776,turquoise_Tylee
ENSG00000073734,grey_Tylee
ENSG00000276582,grey_Tylee
ENSG00000005471,royalblue_Tylee
ENSG00000004846,grey_Tylee
ENSG00000131269,grey_Tylee
ENSG00000197150,grey_Tylee
ENSG00000150967,turquoise_Tylee
ENSG00000103222,grey_Tylee
ENSG00000278183,grey_Tylee
ENSG00000124574,green_Tylee
ENSG00000140798,grey_Tylee
ENSG00000023839,grey_Tylee
ENSG00000108846,grey_Tylee
ENSG00000125257,grey_Tylee
ENSG00000114770,grey_Tylee
ENSG00000275331,grey_Tylee
ENSG00000091262,grey_Tylee
ENSG00000006071,grey_Tylee
ENSG00000173208,turquoise_Tylee
ENSG00000117528,turquoise_Tylee
ENSG00000119688,grey_Tylee
ENSG00000164163,turquoise_Tylee
ENSG00000204574,green_Tylee
ENSG00000236149,green_Tylee
ENSG00000236342,green_Tylee
ENSG00000206490,green_Tylee
ENSG00000232169,green_Tylee
ENSG00000231129,green_Tylee
ENSG00000225989,green_Tylee
ENSG00000033050,grey_Tylee
ENSG00000161204,lightgreen_Tylee
ENSG00000160179,blue_Tylee
ENSG00000118777,grey_Tylee
ENSG00000172350,grey_Tylee
ENSG00000138075,grey_Tylee
ENSG00000143921,grey_Tylee
ENSG00000143994,grey_Tylee
ENSG00000144827,brown_Tylee
ENSG00000106077,grey_Tylee
ENSG00000100997,grey_Tylee
ENSG00000139826,turquoise_Tylee
ENSG00000248487,darkgreen_Tylee
ENSG00000114779,salmon_Tylee
ENSG00000168792,grey_Tylee
ENSG00000206403,blue_Tylee
ENSG00000230475,blue_Tylee
ENSG00000231488,blue_Tylee
ENSG00000224552,blue_Tylee
ENSG00000204427,blue_Tylee
ENSG00000235676,blue_Tylee
ENSG00000236063,blue_Tylee
ENSG00000129968,cyan_Tylee
ENSG00000107362,turquoise_Tylee
ENSG00000136379,grey_Tylee
ENSG00000140526,blue_Tylee
ENSG00000158201,magenta_Tylee
ENSG00000100439,white_Tylee
ENSG00000011198,blue_Tylee
ENSG00000163686,grey_Tylee
ENSG00000136754,turquoise_Tylee
ENSG00000138443,turquoise_Tylee
ENSG00000108798,grey_Tylee
ENSG00000097007,green_Tylee
ENSG00000143322,grey_Tylee
ENSG00000099204,darkgrey_Tylee
ENSG00000276016,blue_Tylee
ENSG00000278741,blue_Tylee
ENSG00000159842,blue_Tylee
ENSG00000174429,grey_Tylee
ENSG00000146386,brown_Tylee
ENSG00000146109,black_Tylee
ENSG00000114626,blue_Tylee
ENSG00000166016,grey_Tylee
ENSG00000060971,grey_Tylee
ENSG00000167315,grey_Tylee
ENSG00000275176,green_Tylee
ENSG00000278540,green_Tylee
ENSG00000111271,grey_Tylee
ENSG00000151498,grey_Tylee
ENSG00000177646,grey_Tylee
ENSG00000115361,grey_Tylee
ENSG00000117054,brown_Tylee
ENSG00000196177,turquoise_Tylee
ENSG00000072778,yellow_Tylee
ENSG00000157766,grey_Tylee
ENSG00000114331,red_Tylee
ENSG00000131584,grey_Tylee
ENSG00000120437,brown_Tylee
ENSG00000182827,grey_Tylee
ENSG00000107897,turquoise_Tylee
ENSG00000110455,grey_Tylee
ENSG00000102977,yellow_Tylee
ENSG00000130234,grey_Tylee
ENSG00000167769,grey_Tylee
ENSG00000078124,grey60_Tylee
ENSG00000087085,grey_Tylee
