Ensembl,Module
ENSG00000175899,11_Voineagu
ENSG00000081760,8_Voineagu
ENSG00000127837,7_Voineagu
ENSG00000090861,1_Voineagu
ENSG00000266967,12_Voineagu
ENSG00000157426,1_Voineagu
ENSG00000149313,17_Voineagu
ENSG00000276072,13_Voineagu
ENSG00000275700,13_Voineagu
ENSG00000181409,5_Voineagu
ENSG00000183044,7_Voineagu
ENSG00000183044,7_Voineagu
ENSG00000165029,13_Voineagu
ENSG00000107331,14_Voineagu
ENSG00000167972,18_Voineagu
ENSG00000154265,2_Voineagu
ENSG00000154265,12_Voineagu
ENSG00000085563,7_Voineagu
ENSG00000135776,2_Voineagu
ENSG00000115657,18_Voineagu
ENSG00000131269,13_Voineagu
ENSG00000150967,12_Voineagu
ENSG00000150967,12_Voineagu
ENSG00000124574,6_Voineagu
ENSG00000140798,8_Voineagu
ENSG00000114770,6_Voineagu
ENSG00000114770,15_Voineagu
ENSG00000275331,3_Voineagu
ENSG00000091262,3_Voineagu
ENSG00000006071,18_Voineagu
ENSG00000164163,7_Voineagu
ENSG00000164163,17_Voineagu
ENSG00000204574,7_Voineagu
ENSG00000204574,17_Voineagu
ENSG00000236149,7_Voineagu
ENSG00000236149,17_Voineagu
ENSG00000236342,7_Voineagu
ENSG00000236342,17_Voineagu
ENSG00000206490,7_Voineagu
ENSG00000206490,17_Voineagu
ENSG00000232169,7_Voineagu
ENSG00000232169,17_Voineagu
ENSG00000231129,7_Voineagu
ENSG00000231129,17_Voineagu
ENSG00000225989,7_Voineagu
ENSG00000225989,17_Voineagu
ENSG00000033050,12_Voineagu
ENSG00000033050,17_Voineagu
ENSG00000161204,12_Voineagu
ENSG00000160179,18_Voineagu
ENSG00000160179,5_Voineagu
ENSG00000172350,12_Voineagu
ENSG00000144827,15_Voineagu
ENSG00000100997,18_Voineagu
ENSG00000100997,2_Voineagu
ENSG00000248487,17_Voineagu
ENSG00000140526,3_Voineagu
ENSG00000163686,14_Voineagu
ENSG00000127220,18_Voineagu
ENSG00000136754,7_Voineagu
ENSG00000138443,2_Voineagu
ENSG00000154175,3_Voineagu
ENSG00000097007,5_Voineagu
ENSG00000099204,10_Voineagu
ENSG00000099204,7_Voineagu
ENSG00000163995,12_Voineagu
ENSG00000173210,4_Voineagu
ENSG00000276016,8_Voineagu
ENSG00000278741,8_Voineagu
ENSG00000159842,8_Voineagu
ENSG00000114626,15_Voineagu
ENSG00000114626,12_Voineagu
ENSG00000060971,5_Voineagu
ENSG00000167315,10_Voineagu
ENSG00000275176,7_Voineagu
ENSG00000275176,7_Voineagu
ENSG00000278540,7_Voineagu
ENSG00000278540,7_Voineagu
ENSG00000076555,10_Voineagu
ENSG00000111271,6_Voineagu
ENSG00000240303,4_Voineagu
ENSG00000151498,2_Voineagu
ENSG00000177646,2_Voineagu
ENSG00000117054,10_Voineagu
ENSG00000072778,4_Voineagu
ENSG00000072778,4_Voineagu
ENSG00000075239,2_Voineagu
ENSG00000182827,7_Voineagu
ENSG00000230124,2_Voineagu
ENSG00000176244,10_Voineagu
ENSG00000102977,7_Voineagu
ENSG00000087085,17_Voineagu
ENSG00000100813,7_Voineagu
ENSG00000131473,12_Voineagu
ENSG00000122729,10_Voineagu
ENSG00000100412,2_Voineagu
ENSG00000184227,2_Voineagu
ENSG00000177465,8_Voineagu
ENSG00000097021,17_Voineagu
ENSG00000097021,17_Voineagu
ENSG00000101473,17_Voineagu
ENSG00000161533,10_Voineagu
