label	sample	batch	condition	condition_num	cell	cell_num	condition2	condition2_num	Neur_prop	Neur_prop_group	group	group_num	Neur_prop_percentage
F2613.cl1_npcFile_P_NPC	F2613P	npcFile	P	1	NPC	0	AF	2	0.43602526	B	P_NPC	2	40-45%
F2613.cl2_npcFile_P_NPC	F2613P	npcFile	P	1	NPC	0	AF	2	0.438577529	B	P_NPC	2	40-45%
F2613.cl3_npcFile_P_NPC	F2613P	npcFile	P	1	NPC	0	AF	2	0.467880774	C	P_NPC	2	46-50%
F2688.cl4_npcFile_P_NPC	F2688P	npcFile	P	1	NPC	0	AF	2	0.46941457	C	P_NPC	2	46-50%
F2688.cl5_npcFile_P_NPC	F2688P	npcFile	P	1	NPC	0	AF	2	0.469412664	C	P_NPC	2	46-50%
F2688.cl6_npcFile_P_NPC	F2688P	npcFile	P	1	NPC	0	AF	2	0.468162295	C	P_NPC	2	46-50%
F2735.cl1_npcFile_P_NPC	F2735P	npcFile	P	1	NPC	0	AF	2	0.452468368	B	P_NPC	2	40-45%
F2735.cl2_npcFile_P_NPC	F2735P	npcFile	P	1	NPC	0	AF	2	0.492944638	C	P_NPC	2	46-50%
F2735.cl3_npcFile_P_NPC	F2735P	npcFile	P	1	NPC	0	AF	2	0.514419294	D	P_NPC	2	51-60%
F6136.cl1_npcFile_P_NPC	F6136P	npcFile	P	1	NPC	0	AF	2	0.34	A	P_NPC	2	<40%
F7511.cl1_npcFile_P_NPC	F7511P	npcFile	P	1	NPC	0	AF	2	0.457732043	B	P_NPC	2	40-45%
F7511.cl2_npcFile_P_NPC	F7511P	npcFile	P	1	NPC	0	AF	2	0.474093332	C	P_NPC	2	46-50%
F7511.cl3_npcFile_P_NPC	F7511P	npcFile	P	1	NPC	0	AF	2	0.349357547	A	P_NPC	2	<40%
F6281.cl1_npcFile_P_NPC	F6281P	npcFile	P	1	NPC	0	BF	3	0.489901645	C	P_NPC	2	46-50%
F6281.cl2_npcFile_P_NPC	F6281P	npcFile	P	1	NPC	0	BF	3	0.496484665	C	P_NPC	2	46-50%
F6281.cl4_npcFile_P_NPC	F6281P	npcFile	P	1	NPC	0	BF	3	0.492221447	C	P_NPC	2	46-50%
F5541.cl1_npcFile_C_NPC	F5541P	npcFile	C	0	NPC	0	C	1	0.548060361	D	C_NPC	1	51-60%
F5541.cl2_npcFile_C_NPC	F5541P	npcFile	C	0	NPC	0	C	1	0.558889329	D	C_NPC	1	51-60%
F5541.cl5_npcFile_C_NPC	F5541P	npcFile	C	0	NPC	0	C	1	0.428338022	B	C_NPC	1	40-45%
F5618.cl3_npcFile_C_NPC	F5618P	npcFile	C	0	NPC	0	C	1	0.463724878	C	C_NPC	1	46-50%
F5618.cl6_npcFile_C_NPC	F5618P	npcFile	C	0	NPC	0	C	1	0.459935308	B	C_NPC	1	40-45%
F6119.cl1_npcFile_C_NPC	F6119P	npcFile	C	0	NPC	0	C	1	0.437684884	B	C_NPC	1	40-45%
F6119.cl7_npcFile_C_NPC	F6119P	npcFile	C	0	NPC	0	C	1	0.435840171	B	C_NPC	1	40-45%
F7315.cl4_npcFile_C_NPC	F7315P	npcFile	C	0	NPC	0	C	1	0.511730884	D	C_NPC	1	51-60%
F7315.cl5_npcFile_C_NPC	F7315P	npcFile	C	0	NPC	0	C	1	0.508375729	C	C_NPC	1	46-50%
F7647.cl1_npcFile_C_NPC	F7647P	npcFile	C	0	NPC	0	C	1	0.469648201	C	C_NPC	1	46-50%
F7647.cl2_npcFile_C_NPC	F7647P	npcFile	C	0	NPC	0	C	1	0.46784598	C	C_NPC	1	46-50%
F7647.cl3_npcFile_C_NPC	F7647P	npcFile	C	0	NPC	0	C	1	0.47679602	C	C_NPC	1	46-50%
F7672.cl4_npcFile_C_NPC	F7672P	npcFile	C	0	NPC	0	C	1	0.44302921	B	C_NPC	1	40-45%
F2613.cl1_NeurFile_P_Neur	F2613N	neurFile	P	1	Neur	1	AF	2	0.82	F	P_Neur	4	81-100%
F2613.GFP.cl1_NeurFile_P_Neur	F2613N	neurFile	P	1	Neur	1	AF	2	1	F	P_Neur	4	81-100%
F2688.cl4_NeurFile_P_Neur	F2688N	neurFile	P	1	Neur	1	AF	2	0.49	C	P_Neur	4	46-50%
F2688.cl6_NeurFile_P_Neur	F2688N	neurFile	P	1	Neur	1	AF	2	0.4	A	P_Neur	4	<40%
F2735.cl2_NeurFile_P_Neur	F2735N	neurFile	P	1	Neur	1	AF	2	0.64	E	P_Neur	4	61-80%
F2735.cl3_NeurFile_P_Neur	F2735N	neurFile	P	1	Neur	1	AF	2	0.88	F	P_Neur	4	81-100%
F2735.GFP.cl2_NeurFile_P_Neur	F2735N	neurFile	P	1	Neur	1	AF	2	0.71	E	P_Neur	4	61-80%
F6136.cl4_NeurFile_P_Neur	F6136N	neurFile	P	1	Neur	1	AF	2	0.5	C	P_Neur	4	46-50%
F6281.cl1_NeurFile_P_Neur	F6281N	neurFile	P	1	Neur	1	BF	3	0.64	E	P_Neur	4	61-80%
F6281.cl4_NeurFile_P_Neur	F6281N	neurFile	P	1	Neur	1	BF	3	0.6	D	P_Neur	4	51-60%
F6281.GFP.cl1_NeurFile_P_Neur	F6281N	neurFile	P	1	Neur	1	BF	3	0.94	F	P_Neur	4	81-100%
F7511.cl2_NeurFile_P_Neur	F7511N	neurFile	P	1	Neur	1	AF	2	0.59	D	P_Neur	4	51-60%
F5541.cl2_NeurFile_C_Neur	F5541N	neurFile	C	0	Neur	1	C	1	0.53	D	C_Neur	3	51-60%
F5541.GFP.cl2_NeurFile_C_Neur	F5541N	neurFile	C	0	Neur	1	C	1	0.9	F	C_Neur	3	81-100%
F5618.cl3_NeurFile_C_Neur	F5618N	neurFile	C	0	Neur	1	C	1	0.63	E	C_Neur	3	61-80%
F5618.cl6_NeurFile_C_Neur	F5618N	neurFile	C	0	Neur	1	C	1	0.38	A	C_Neur	3	<40%
F5618.GFP.cl6_NeurFile_C_Neur	F5618N	neurFile	C	0	Neur	1	C	1	0.81	F	C_Neur	3	81-100%
F7647.cl1_NeurFile_C_Neur	F7647N	neurFile	C	0	Neur	1	C	1	0.72	E	C_Neur	3	61-80%
F7647.cl3_NeurFile_C_Neur	F7647N	neurFile	C	0	Neur	1	C	1	0.57	D	C_Neur	3	51-60%
F7672.cl5_NeurFile_C_Neur	F7672N	neurFile	C	0	Neur	1	C	1	0.62	E	C_Neur	3	61-80%
F7672.cl6_NeurFile_C_Neur	F7672N	neurFile	C	0	Neur	1	C	1	0.57	D	C_Neur	3	51-60%
F7672.GFP.cl5_NeurFile_C_Neur	F7672N	neurFile	C	0	Neur	1	C	1	1	F	C_Neur	3	81-100%
F7672.GFP.cl6_NeurFile_C_Neur	F7672N	neurFile	C	0	Neur	1	C	1	0.95	F	C_Neur	3	81-100%
