InputCategories	UserDefinedCategories	yesother-yesM1	yesother-nonM1	nonother-yesM1	non-other-nonM1	total
M1	mod1_Gupta__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	158	1253	320	9700	11431
M1	mod2_Gupta__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	115	1104	363	9849	11431
M1	mod6_Gupta__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	52	510	426	10443	11431
M1	CD1_Gandal__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	118	919	198	6941	8176
M1	CD13_Gandal__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	19	83	297	7777	8176
M1	brown_Mariani__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	145	723	313	10074	11255
M1	pink_Mariani__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	53	421	405	10376	11255
M1	tan_Mariani__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	31	216	427	10581	11255
M1	blue_Mariani__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	80	1109	378	9688	11255
M18	red_Mariani__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	33	927	131	10164	11255
M1	12_Voineagu__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	45	206	264	6450	6965
M1	8_Voineagu__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	34	200	275	6456	6965
M1	brown_Roussos__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	153	1598	283	10346	12380
M1	M17_Parikshak2013__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	87	557	464	12192	13300
M1	M16_Parikshak2013__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	60	369	491	12380	13300
M1	M13_Parikshak2013__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	58	364	493	12385	13300
M18	M3_Parikshak2013__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	33	777	155	12335	13300
M1	25_Parikshak2016__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	75	646	444	11117	12282
M1	16_Parikshak2016__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	40	228	479	11535	12282
M1	17_Parikshak2016__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	28	159	491	11604	12282
M1	10_Parikshak2016__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	26	213	493	11550	12282
M1	4_Parikshak2016__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	25	201	494	11562	12282
M1	M19_DeRosa35__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	36	108	57	2014	2215
M18	M14_DeRosa135__C:/Users/karin/Dropbox/Arquivos_genomica_autistas/RNAseq/RNAseq_files/Resultados_finais/enrichment_analysis/modules_allStudies.csv	35	679	22	1795	2531
