	pat.yes	pat.no	contr.yes	contr.no
LoF_M1_Neur	13	3969	1	2077
LoF_M2_Neur	18	3964	4	2074
LoF_M3_Neur	2	3980	1	2077
LoF_M4_Neur	2	3980	1	2077
LoF_M5_Neur	4	3978	0	2078
LoF_M6_Neur	4	3978	0	2078
LoF_M7_Neur	1	3981	2	2076
LoF_M8_Neur	7	3975	1	2077
LoF_M9_Neur	3	3979	1	2077
LoF_M10_Neur	1	3981	1	2077
LoF_M11_Neur	0	3982	0	2078
LoF_M12_Neur	2	3980	0	2078
LoF_M13_Neur	8	3974	1	2077
LoF_M14_Neur	3	3979	1	2077
LoF_M15_Neur	3	3979	1	2077
LoF_M16_Neur	1	3981	0	2078
LoF_M17_Neur	3	3979	1	2077
LoF_M18_Neur	3	3979	1	2077
LoF_M19_Neur	0	3982	0	2078
LoF_M20_Neur	2	3980	2	2076
LoF_nonmod_Neur	191	3791	29	2049
LoF_M1_NPC	28	3954	3	2075
LoF_M2_NPC	6	3976	0	2078
LoF_M3_NPC	0	3982	0	2078
LoF_M4_NPC	6	3976	0	2078
LoF_M5_NPC	5	3977	0	2078
LoF_M6_NPC	3	3979	1	2077
LoF_M7_NPC	14	3968	3	2075
LoF_M8_NPC	1	3981	2	2076
LoF_M9_NPC	3	3979	1	2077
LoF_M10_NPC	1	3981	2	2076
LoF_M11_NPC	2	3980	0	2078
LoF_nonmod_NPC	178	3804	30	2048
Missense_M1_Neur	56	3926	19	2059
Missense_M2_Neur	52	3930	23	2055
Missense_M3_Neur	27	3955	5	2073
Missense_M4_Neur	20	3962	10	2068
Missense_M5_Neur	25	3957	7	2071
Missense_M6_Neur	19	3963	12	2066
Missense_M7_Neur	16	3966	7	2071
Missense_M8_Neur	20	3962	8	2070
Missense_M9_Neur	14	3968	5	2073
Missense_M10_Neur	7	3975	4	2074
Missense_M11_Neur	7	3975	3	2075
Missense_M12_Neur	12	3970	4	2074
Missense_M13_Neur	19	3963	17	2061
Missense_M14_Neur	20	3962	12	2066
Missense_M15_Neur	12	3970	5	2073
Missense_M16_Neur	6	3976	9	2069
Missense_M17_Neur	13	3969	11	2067
Missense_M18_Neur	13	3969	7	2071
Missense_M19_Neur	3	3979	0	2078
Missense_M20_Neur	11	3971	5	2073
Missense_nonmod_Neur	662	3320	269	1809
Missense_M1_NPC	112	3870	39	2039
Missense_M2_NPC	42	3940	22	2056
Missense_M3_NPC	1	3981	0	2078
Missense_M4_NPC	43	3939	16	2062
Missense_M5_NPC	29	3953	11	2067
Missense_M6_NPC	34	3948	14	2064
Missense_M7_NPC	55	3927	23	2055
Missense_M8_NPC	20	3962	15	2063
Missense_M9_NPC	21	3961	12	2066
Missense_M10_NPC	13	3969	4	2074
Missense_M11_NPC	9	3973	8	2070
Missense_nonmod_NPC	570	3412	224	1854
