"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",1823.05247032185,-0.778331589055844,0.0519259611703449,-14.9892572330534,8.63130822150823e-51,2.40840867660496e-50
"ENSG00000000005",27.5711665519989,-7.82818010117692,0.668476102969478,-11.7104860838,1.12632037281679e-31,2.37817490483298e-31
"ENSG00000000419",559.524413285905,-1.13803254460647,0.0461668694543593,-24.6504161546309,3.6424992050125e-134,3.32889039573671e-133
"ENSG00000000457",260.457018353833,0.0319128341012864,0.0595046812625144,0.536307958032711,0.591745731538643,0.609111062468568
"ENSG00000000460",308.116610816254,-1.84893820559663,0.073877873583345,-25.0269548366299,3.11171373049669e-138,3.0244970511146e-137
"ENSG00000001036",405.390298223239,-1.40586091819486,0.0645834093101591,-21.768143447542,4.65090535509219e-105,2.75818908884598e-104
"ENSG00000001084",456.281363222456,-0.092449090331519,0.0576522945550546,-1.60356306795795,0.108810396949591,0.11941056501984
"ENSG00000001167",1190.90211942838,-0.885174502392577,0.0613298283160016,-14.4330177777724,3.20734742757776e-47,8.48656040973048e-47
"ENSG00000001497",1271.07410888739,-0.199601207486855,0.0358313743726553,-5.57057079114387,2.53906123200627e-08,3.55938285761208e-08
"ENSG00000001561",143.641744295984,2.05558196092196,0.0839038223856511,24.4992647828819,1.50403451501041e-132,1.34377930904423e-131
"ENSG00000001617",483.212366771533,-0.514493130936143,0.144080155185076,-3.57088129364698,0.000355782121301822,0.000440235996482326
"ENSG00000001629",1483.74701873845,1.11429289400104,0.0374064156284748,29.7888176474415,5.45327597790034e-195,1.15173188653255e-193
"ENSG00000001630",99.0762746957186,0.0405776460734235,0.0927914305768848,0.437299498683791,0.661894158870601,0.677668330042785
"ENSG00000001631",678.436599711258,-0.413875040924964,0.0343942835242256,-12.0332508346467,2.37616873213542e-33,5.1479986509057e-33
"ENSG00000002016",366.360451047653,0.896747310317761,0.0821318867539765,10.9183819556458,9.41582476285023e-28,1.87765862229937e-27
"ENSG00000002330",132.968178599777,0.276211214215383,0.0630843215751252,4.37844471207401,1.19529254725881e-05,1.55249550972324e-05
"ENSG00000002549",627.402794419197,-1.01757424510922,0.0863228815132586,-11.7880013650023,4.50095671841046e-32,9.56029841252821e-32
"ENSG00000002822",573.657502650527,-0.408553248322678,0.0521004854348483,-7.84163995618762,4.44699906439493e-15,7.22179588114062e-15
"ENSG00000002834",3678.44032811029,-0.611933145311149,0.0747346697232166,-8.18807586328369,2.65435499386129e-16,4.41933501571779e-16
"ENSG00000002919",397.682561692204,0.592910039127326,0.0745981713945209,7.9480505760879,1.89469304879281e-15,3.09906423729797e-15
