"Status","Replicate"
F2613.cl1_npcFile_P_NPC,Progenitor,F2613
F2613.cl2_npcFile_P_NPC,Progenitor,F2613
F2613.cl3_npcFile_P_NPC,Progenitor,F2613
F2688.cl4_npcFile_P_NPC,Progenitor,F2688
F2688.cl5_npcFile_P_NPC,Progenitor,F2688
F2688.cl6_npcFile_P_NPC,Progenitor,F2688
F2735.cl1_npcFile_P_NPC,Progenitor,F2735
F2735.cl2_npcFile_P_NPC,Progenitor,F2735
F2735.cl3_npcFile_P_NPC,Progenitor,F2735
F6136.cl1_npcFile_P_NPC,Progenitor,F6136
F7511.cl1_npcFile_P_NPC,Progenitor,F7511
F7511.cl2_npcFile_P_NPC,Progenitor,F7511
F7511.cl3_npcFile_P_NPC,Progenitor,F7511
F6281.cl1_npcFile_P_NPC,Progenitor,F6281
F6281.cl2_npcFile_P_NPC,Progenitor,F6281
F6281.cl4_npcFile_P_NPC,Progenitor,F6281
F5541.cl1_npcFile_C_NPC,Progenitor,F5541
F5541.cl2_npcFile_C_NPC,Progenitor,F5541
F5541.cl5_npcFile_C_NPC,Progenitor,F5541
F5618.cl3_npcFile_C_NPC,Progenitor,F5618
F5618.cl6_npcFile_C_NPC,Progenitor,F5618
F6119.cl1_npcFile_C_NPC,Progenitor,F6119
F6119.cl7_npcFile_C_NPC,Progenitor,F6119
F7315.cl4_npcFile_C_NPC,Progenitor,F7315
F7315.cl5_npcFile_C_NPC,Progenitor,F7315
F7647.cl1_npcFile_C_NPC,Progenitor,F7647
F7647.cl2_npcFile_C_NPC,Progenitor,F7647
F7647.cl3_npcFile_C_NPC,Progenitor,F7647
F7672.cl4_npcFile_C_NPC,Progenitor,F7672
F2613.cl1_NeurFile_P_Neur,Differentiated,F2613
F2613.GFP.cl1_NeurFile_P_Neur,Differentiated,F2613
F2735.cl2_NeurFile_P_Neur,Differentiated,F2735
F2735.cl3_NeurFile_P_Neur,Differentiated,F2735
F2735.GFP.cl2_NeurFile_P_Neur,Differentiated,F2735
F6281.cl1_NeurFile_P_Neur,Differentiated,F6281
F6281.cl4_NeurFile_P_Neur,Differentiated,F6281
F6281.GFP.cl1_NeurFile_P_Neur,Differentiated,F6281
F7511.cl2_NeurFile_P_Neur,Differentiated,F7511
F5541.cl2_NeurFile_C_Neur,Differentiated,F5541
F5541.GFP.cl2_NeurFile_C_Neur,Differentiated,F5541
F5618.cl3_NeurFile_C_Neur,Differentiated,F5618
F5618.GFP.cl6_NeurFile_C_Neur,Differentiated,F5618
F7647.cl1_NeurFile_C_Neur,Differentiated,F7647
F7647.cl3_NeurFile_C_Neur,Differentiated,F7647
F7672.cl5_NeurFile_C_Neur,Differentiated,F7672
F7672.cl6_NeurFile_C_Neur,Differentiated,F7672
F7672.GFP.cl5_NeurFile_C_Neur,Differentiated,F7672
F7672.GFP.cl6_NeurFile_C_Neur,Differentiated,F7672
