"","NGenes","Direction","PValue","FDR"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0,"Up",2,1
"KEGG_CITRATE_CYCLE_TCA_CYCLE",0,"Up",2,1
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",0,"Up",2,1
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",0,"Up",2,1
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0,"Up",2,1
"KEGG_GALACTOSE_METABOLISM",0,"Up",2,1
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0,"Up",2,1
"KEGG_FATTY_ACID_METABOLISM",0,"Up",2,1
"KEGG_STEROID_BIOSYNTHESIS",0,"Up",2,1
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",0,"Up",2,1
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",0,"Up",2,1
"KEGG_OXIDATIVE_PHOSPHORYLATION",0,"Up",2,1
"KEGG_PURINE_METABOLISM",0,"Up",2,1
"KEGG_PYRIMIDINE_METABOLISM",0,"Up",2,1
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0,"Up",2,1
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0,"Up",2,1
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0,"Up",2,1
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0,"Up",2,1
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS",0,"Up",2,1
"KEGG_LYSINE_DEGRADATION",0,"Up",2,1
"KEGG_ARGININE_AND_PROLINE_METABOLISM",0,"Up",2,1
"KEGG_HISTIDINE_METABOLISM",0,"Up",2,1
"KEGG_TYROSINE_METABOLISM",0,"Up",2,1
"KEGG_PHENYLALANINE_METABOLISM",0,"Up",2,1
"KEGG_TRYPTOPHAN_METABOLISM",0,"Up",2,1
"KEGG_BETA_ALANINE_METABOLISM",0,"Up",2,1
"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM",0,"Up",2,1
"KEGG_SELENOAMINO_ACID_METABOLISM",0,"Up",2,1
"KEGG_GLUTATHIONE_METABOLISM",0,"Up",2,1
"KEGG_STARCH_AND_SUCROSE_METABOLISM",0,"Up",2,1
"KEGG_N_GLYCAN_BIOSYNTHESIS",0,"Up",2,1
"KEGG_OTHER_GLYCAN_DEGRADATION",0,"Up",2,1
"KEGG_O_GLYCAN_BIOSYNTHESIS",0,"Up",2,1
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0,"Up",2,1
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0,"Up",2,1
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",0,"Up",2,1
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",0,"Up",2,1
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0,"Up",2,1
"KEGG_GLYCEROLIPID_METABOLISM",0,"Up",2,1
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",0,"Up",2,1
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",0,"Up",2,1
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0,"Up",2,1
"KEGG_ETHER_LIPID_METABOLISM",0,"Up",2,1
