"Sample","M1","M3","M5","M6","M13","M10","M7","M11","M2","M14","M4","M17","M16","M20","M9","M12","M19","M15","M8","M18","M0"
"F2613.cl1_NeurFile_P_Neur",0.393715829574094,0.44473956187685,0.425672434830131,0.113333671825567,0.394645017334547,0.311299557814808,0.0345832659000675,0.238854428899982,0.146811564793953,-0.201394018778097,-0.254943293508714,0.0821323234718392,-0.459327995956233,-0.487989776212246,-0.524179207772324,-0.285563867142725,-0.64147274965668,-0.161510825146916,-0.129911153379686,-0.442213316208759,0.018668240743339
"F2613.GFP.cl1_NeurFile_P_Neur",0.326793396926356,0.296913004508969,0.162036304216727,0.199052620554814,0.377376624052299,0.32545832668144,-0.131984776842134,-0.122550167331973,0.146899265168748,-0.125827085217319,-0.157198728372988,-0.0292655618693246,-0.114736201500862,-0.386144468226727,-0.275692819057548,-0.247495062545884,-0.139863229580547,-0.18301125148914,-0.120964010948145,-0.248047465096977,-0.120614864598972
"F2735.cl2_NeurFile_P_Neur",-0.131761483036058,-0.104863816879237,0.0333110596407897,-0.390800509372773,-0.207741328020218,-0.390894406772584,0.386151426642602,0.23384384954922,0.0350627132145588,0.176615705626048,-0.0191780818412061,-0.165473644230448,-0.287665747211229,0.0422070868555079,0.114080336215282,0.0262483112153499,0.0254285746443967,0.131122279643339,-0.208246365612462,-0.0219522506309634,0.180466336100945
"F2735.cl3_NeurFile_P_Neur",0.52609690345364,0.125824277649122,-0.39984285049778,-0.151922165690701,0.109812514845458,-0.0186487467362022,0.117771392843517,0.11368869475159,0.488710332787842,0.191784306970062,0.119644078654505,-0.184644961196646,-0.314574928376314,0.120463897792881,-0.282559918308298,-0.13365990020568,0.150125798053335,-0.37885791809636,-0.472168707423792,-0.450524566572515,0.411056044081162
"F2735.GFP.cl2_NeurFile_P_Neur",0.0685650781823457,0.174836446513299,0.174517323276773,-0.0501430136142633,-0.281234942671127,-0.515271470498599,0.0186733219493622,-0.0973608199611628,-0.174069439074029,-0.0547007902802941,0.566069711566421,0.484767198361126,0.179670551935041,0.0357647802908202,-0.156333991030232,-0.318326654307422,0.229363710302734,0.168837832533232,0.237508293192189,0.0524875857871263,0.263047589532693
"F6281.cl1_NeurFile_P_Neur",0.0648440472416434,-0.0386236944283864,0.0434711893592372,-0.180099427711042,0.140806772470204,0.0296962379064874,0.339126383711078,0.159980212954174,0.144926666006543,0.0775510722262394,-0.180840135304009,-0.229748594535402,-0.258710462680233,-0.229954866358945,0.0681740447183792,0.0131861981580766,-0.032465890213739,0.00309534764329074,-0.285532546425384,-0.209111798743814,-0.0692675679607376
"F6281.cl4_NeurFile_P_Neur",0.122141413150223,0.0402660358120584,0.210674932537416,-0.0207672126020723,-0.188977013295752,-0.148767274769646,0.220990924110241,-0.324776424438282,0.0119928820240563,0.0203348090401208,-0.0341418123083719,0.20780181675356,-0.0632257064610569,-0.0539184436654255,-0.186038525295479,-0.193582365136536,-0.119629191648512,0.0844323050444755,0.0305935534500167,-0.00577355526890389,0.398238087678132
"F6281.GFP.cl1_NeurFile_P_Neur",0.0408605494788522,0.0987721460107882,0.062749468778359,-0.129088094732006,0.0452474396320571,-0.0554702786312233,0.11762356310877,-0.130227137771726,0.069884368502207,0.0207376104688137,0.00817319677329389,-0.240543949592004,-0.181720718711282,-0.202098012921844,0.00980581498085235,0.0660518487583953,-0.0646400079288354,0.00519382117737836,-0.232521876270499,-0.142691242574469,0.0228595221114548
"F7511.cl2_NeurFile_P_Neur",0.0852246942544967,-0.00349179123218261,-0.261554475984002,0.0170113786981768,-0.182306537677452,0.053811077383969,-0.251395809496332,0.281906202645573,0.101901862725701,0.0637020896412632,0.121157905800254,-0.0251339612467688,0.0843271474445147,0.20795621561228,0.0192855503273069,-0.0859664969614761,0.091415089545251,-0.0577924421924375,0.0425395769809915,0.0457830760036227,0.226547907519724
"F5541.cl2_NeurFile_C_Neur",-0.0871207045396842,0.159670911196038,0.178170563848032,0.737719204969455,0.474151886037964,-0.110438206970459,-0.489458752331543,-0.602202332521996,-0.488135874162958,-0.653644408017985,-0.466646860378456,0.00339960324137678,0.165090380194657,-0.239885605995748,0.0162423835948139,-0.271774825848503,0.449515436803626,0.179077762323341,0.437351604453437,0.319807437627754,0.0108280536952957
"F5541.GFP.cl2_NeurFile_C_Neur",-0.163282231259208,0.207457037665644,0.27498350224785,0.224392593703122,0.104041138368302,-0.250509729787977,-0.17616616648959,0.0279719972104391,-0.372830782837914,-0.386076029942431,-0.228320509480708,0.178770436964547,0.0415560142412413,-0.18833705503074,0.102820782433357,-0.274104703412154,0.257021687089025,0.403213066772682,0.358582718894369,0.270087170695457,-0.0195724962004745
"F5618.cl3_NeurFile_C_Neur",-0.261703183647831,-0.0790575816727415,-0.00686485500128316,0.0281694497249799,0.0499009300671651,0.00595105016553025,0.046052359471344,0.137414987282254,-0.223486604271918,-0.151621902267265,-0.199917084807206,-0.199476035793897,-0.0013200818820151,-0.0247731887175403,0.302704138171989,0.123532954029224,0.13941092578255,0.303023389276858,0.0984753263850414,0.2430271427319,-0.0278244433279184
"F5618.GFP.cl6_NeurFile_C_Neur",-0.27435579638502,0.0977585205149398,0.232974121398173,-0.0883590363336666,-0.24833776798222,-0.15662825770377,-0.0415626493999305,-0.0803911717333955,-0.315363844448221,-0.0911872752863109,0.13028288535957,0.28074514194361,-0.0874751525637756,0.221046692072625,0.013008071318515,0.00089235353677504,-0.0943640090031489,0.362619485627572,0.30276284358708,0.288259352982639,0.0544747692743269
"F7647.cl1_NeurFile_C_Neur",0.12292510539483,-0.13471975361281,-0.26812453232109,-0.000810245011643444,0.187847235756969,0.347883830595556,-0.207229197390505,0.362029589400878,0.309028882037405,0.217589592012354,0.17622027576249,-0.108144883110139,0.232845840611281,0.169401118863719,-0.0851537823272898,0.219961492386354,-0.120652259976138,-0.518492873557259,-0.128269304314945,-0.199267405058887,-0.418117809041119
