"","NGenes","Direction","PValue","FDR"
"GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION",0,"Up",2,1
"GO_CARDIAC_CHAMBER_DEVELOPMENT",0,"Up",2,1
"GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY",0,"Up",2,1
"GO_CIRCADIAN_RHYTHM",0,"Up",2,1
"GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING",0,"Up",2,1
"GO_SPINAL_CORD_DEVELOPMENT",0,"Up",2,1
"GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY",0,"Up",2,1
"GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS",0,"Up",2,1
"GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION",0,"Up",2,1
"GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY",0,"Up",2,1
"GO_POTASSIUM_ION_TRANSPORT",0,"Up",2,1
"GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0,"Up",2,1
"GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION",0,"Up",2,1
"GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION",0,"Up",2,1
"GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION",0,"Up",2,1
"GO_APICAL_PROTEIN_LOCALIZATION",0,"Up",2,1
"GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY",0,"Up",2,1
"GO_FOREBRAIN_NEURON_DEVELOPMENT",0,"Up",2,1
"GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION",0,"Up",2,1
"GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT",0,"Up",2,1
"GO_MITOTIC_CYTOKINESIS",0,"Up",2,1
"GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",0,"Up",2,1
"GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION",0,"Up",2,1
"GO_CYTOPLASMIC_TRANSLATION",0,"Up",2,1
"GO_MEIOTIC_CHROMOSOME_SEGREGATION",0,"Up",2,1
"GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT",0,"Up",2,1
"GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR",0,"Up",2,1
"GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS",0,"Up",2,1
"GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0,"Up",2,1
"GO_DENDRITE_DEVELOPMENT",0,"Up",2,1
"GO_REGULATION_OF_RESPIRATORY_BURST",0,"Up",2,1
"GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION",0,"Up",2,1
"GO_MEMORY",0,"Up",2,1
"GO_NEURON_DEVELOPMENT",0,"Up",2,1
"GO_REGULATION_OF_GOLGI_ORGANIZATION",0,"Up",2,1
"GO_ENDOTHELIAL_CELL_DEVELOPMENT",0,"Up",2,1
"GO_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION",0,"Up",2,1
"GO_REGULATION_OF_CELL_ACTIVATION",0,"Up",2,1
"GO_MULTICELLULAR_ORGANISM_AGING",0,"Up",2,1
"GO_ATP_DEPENDENT_CHROMATIN_REMODELING",0,"Up",2,1
"GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS",0,"Up",2,1
"GO_ION_TRANSPORT",0,"Up",2,1
"GO_LIPID_MODIFICATION",0,"Up",2,1
"GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT",0,"Up",2,1
"GO_REGULATION_OF_HEPATOCYTE_PROLIFERATION",0,"Up",2,1
"GO_ACYLGLYCEROL_HOMEOSTASIS",0,"Up",2,1
"GO_NEGATIVE_REGULATION_OF_PROTEIN_COMPLEX_ASSEMBLY",0,"Up",2,1
"GO_HEMOGLOBIN_METABOLIC_PROCESS",0,"Up",2,1
"GO_SINGLE_FERTILIZATION",0,"Up",2,1
"GO_CHROMOSOME_ORGANIZATION",0,"Up",2,1
"GO_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY",0,"Up",2,1
"GO_SYNAPTIC_VESICLE_LOCALIZATION",0,"Up",2,1
"GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS",0,"Up",2,1
"GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",0,"Up",2,1
"GO_ESTABLISHMENT_OF_SPINDLE_ORIENTATION",0,"Up",2,1
"GO_METANEPHRIC_NEPHRON_MORPHOGENESIS",0,"Up",2,1
"GO_RESPONSE_TO_UV_C",0,"Up",2,1
"GO_CARBOHYDRATE_CATABOLIC_PROCESS",0,"Up",2,1
"GO_DENTATE_GYRUS_DEVELOPMENT",0,"Up",2,1
"GO_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT",0,"Up",2,1
"GO_LABYRINTHINE_LAYER_DEVELOPMENT",0,"Up",2,1
"GO_N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION",0,"Up",2,1
"GO_CERAMIDE_CATABOLIC_PROCESS",0,"Up",2,1
"GO_EXCRETION",0,"Up",2,1
"GO_DIGESTION",0,"Up",2,1
"GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC",0,"Up",2,1
"GO_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION",0,"Up",2,1
"GO_HINDBRAIN_DEVELOPMENT",0,"Up",2,1
"GO_OLIGOSACCHARIDE_METABOLIC_PROCESS",0,"Up",2,1
"GO_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT",0,"Up",2,1
"GO_MODULATION_OF_GROWTH_OF_SYMBIONT_INVOLVED_IN_INTERACTION_WITH_HOST",0,"Up",2,1
"GO_CHROMOSOME_SEGREGATION",0,"Up",2,1
"GO_NEGATIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY",0,"Up",2,1
"GO_ETHER_METABOLIC_PROCESS",0,"Up",2,1
"GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION",0,"Up",2,1
"GO_CYTOKINE_METABOLIC_PROCESS",0,"Up",2,1
"GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE",0,"Up",2,1
"GO_STEROID_BIOSYNTHETIC_PROCESS",0,"Up",2,1
"GO_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT",0,"Up",2,1
"GO_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY",0,"Up",2,1
"GO_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION",0,"Up",2,1
"GO_N_GLYCAN_PROCESSING",0,"Up",2,1
"GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT",0,"Up",2,1
"GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS",0,"Up",2,1
"GO_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY",0,"Up",2,1
"GO_MEMBRANE_DEPOLARIZATION",0,"Up",2,1
"GO_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION",0,"Up",2,1
"GO_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE",0,"Up",2,1
"GO_REGULATION_OF_LYASE_ACTIVITY",0,"Up",2,1
"GO_RESPONSE_TO_NITROGEN_COMPOUND",0,"Up",2,1
"GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT",0,"Up",2,1
"GO_REGULATION_OF_DNA_RECOMBINATION",0,"Up",2,1
"GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION",0,"Up",2,1
"GO_RESPONSE_TO_ETHANOL",0,"Up",2,1
"GO_SULFUR_COMPOUND_METABOLIC_PROCESS",0,"Up",2,1
"GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT",0,"Up",2,1
"GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING",0,"Up",2,1
"GO_POSITIVE_REGULATION_OF_DNA_REPLICATION",0,"Up",2,1
"GO_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS",0,"Up",2,1
"GO_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS",0,"Up",2,1
"GO_POSITIVE_REGULATION_OF_METANEPHROS_DEVELOPMENT",0,"Up",2,1
"GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS",0,"Up",2,1
"GO_NUCLEOTIDE_PHOSPHORYLATION",0,"Up",2,1
"GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC",0,"Up",2,1
"GO_GLUTAMATE_SECRETION",0,"Up",2,1
"GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING",0,"Up",2,1
"GO_REGULATION_OF_VASCULOGENESIS",0,"Up",2,1
"GO_LENS_FIBER_CELL_DIFFERENTIATION",0,"Up",2,1
"GO_SENSORY_PERCEPTION",0,"Up",2,1
"GO_HEPATICOBILIARY_SYSTEM_DEVELOPMENT",0,"Up",2,1
"GO_FATTY_ACID_CATABOLIC_PROCESS",0,"Up",2,1
"GO_REGULATION_OF_VESICLE_FUSION",0,"Up",2,1
"GO_REGULATION_OF_LIPID_STORAGE",0,"Up",2,1
"GO_CARBOHYDRATE_TRANSPORT",0,"Up",2,1
"GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS",0,"Up",2,1
"GO_EMBRYONIC_HEMOPOIESIS",0,"Up",2,1
"GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING",0,"Up",2,1
"GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II",0,"Up",2,1
"GO_RESPONSE_TO_IONIZING_RADIATION",0,"Up",2,1
"GO_EPITHELIUM_DEVELOPMENT",0,"Up",2,1
"GO_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION",0,"Up",2,1
"GO_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS",0,"Up",2,1
"GO_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT",0,"Up",2,1
"GO_PROTEIN_LOCALIZATION_TO_CYTOSKELETON",0,"Up",2,1
"GO_NUCLEAR_ENVELOPE_REASSEMBLY",0,"Up",2,1
"GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR",0,"Up",2,1
"GO_REGULATION_OF_AUTOPHAGY",0,"Up",2,1
"GO_PHOSPHOLIPID_METABOLIC_PROCESS",0,"Up",2,1
"GO_AMMONIUM_ION_METABOLIC_PROCESS",0,"Up",2,1
"GO_REGULATION_OF_INTERLEUKIN_4_PRODUCTION",0,"Up",2,1
"GO_NCRNA_CATABOLIC_PROCESS",0,"Up",2,1
"GO_REGULATION_OF_FAT_CELL_DIFFERENTIATION",0,"Up",2,1
"GO_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS",0,"Up",2,1
"GO_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_COMMUNICATION",0,"Up",2,1
"GO_REGULATION_OF_CELL_MATURATION",0,"Up",2,1
