"Ensembl" "moduleColor" "moduleLabel"
"ENSG00000000003" "grey" "M0"
"ENSG00000000419" "grey" "M0"
"ENSG00000000457" "green" "M13"
"ENSG00000000460" "grey" "M0"
"ENSG00000000971" "tan" "M2"
"ENSG00000001036" "grey" "M0"
"ENSG00000001084" "grey" "M0"
"ENSG00000001167" "grey" "M0"
"ENSG00000001461" "turquoise" "M1"
"ENSG00000001497" "grey" "M0"
"ENSG00000001561" "grey" "M0"
"ENSG00000001617" "grey" "M0"
"ENSG00000001629" "grey" "M0"
"ENSG00000001630" "grey" "M0"
"ENSG00000001631" "grey" "M0"
"ENSG00000002016" "grey" "M0"
"ENSG00000002330" "grey" "M0"
"ENSG00000002549" "royalblue" "M9"
"ENSG00000002587" "grey" "M0"
"ENSG00000002746" "red" "M14"
"ENSG00000002822" "black" "M15"
"ENSG00000002834" "grey" "M0"
"ENSG00000002919" "grey" "M0"
"ENSG00000003056" "purple" "M18"
"ENSG00000003096" "grey" "M0"
"ENSG00000003137" "green" "M13"
"ENSG00000003147" "green" "M13"
"ENSG00000003249" "grey" "M0"
"ENSG00000003393" "grey" "M0"
"ENSG00000003402" "grey" "M0"
"ENSG00000003436" "turquoise" "M1"
"ENSG00000003509" "grey" "M0"
"ENSG00000003756" "grey" "M0"
"ENSG00000003987" "tan" "M2"
"ENSG00000004059" "grey" "M0"
"ENSG00000004139" "grey" "M0"
"ENSG00000004142" "grey" "M0"
"ENSG00000004399" "grey60" "M6"
"ENSG00000004455" "grey60" "M6"
"ENSG00000004478" "grey" "M0"
"ENSG00000004487" "grey" "M0"
"ENSG00000004534" "grey" "M0"
"ENSG00000004660" "grey" "M0"
"ENSG00000004700" "grey" "M0"
"ENSG00000004766" "yellow" "M12"
"ENSG00000004777" "turquoise" "M1"
"ENSG00000004779" "grey" "M0"
"ENSG00000004799" "grey" "M0"
"ENSG00000004838" "lightgreen" "M7"
"ENSG00000004864" "grey" "M0"
"ENSG00000004866" "grey" "M0"
"ENSG00000004897" "grey" "M0"
"ENSG00000004961" "grey" "M0"
"ENSG00000004975" "grey" "M0"
"ENSG00000005007" "grey" "M0"
"ENSG00000005020" "grey" "M0"
"ENSG00000005022" "grey" "M0"
"ENSG00000005059" "grey" "M0"
"ENSG00000005075" "greenyellow" "M19"
"ENSG00000005100" "grey" "M0"
"ENSG00000005108" "yellow" "M12"
"ENSG00000005156" "grey" "M0"
"ENSG00000005175" "grey" "M0"
"ENSG00000005189" "turquoise" "M1"
"ENSG00000005194" "grey" "M0"
"ENSG00000005206" "grey" "M0"
"ENSG00000005238" "grey" "M0"
"ENSG00000005243" "midnightblue" "M4"
"ENSG00000005249" "tan" "M2"
"ENSG00000005302" "grey" "M0"
"ENSG00000005339" "grey" "M0"
"ENSG00000005379" "turquoise" "M1"
"ENSG00000005436" "grey" "M0"
"ENSG00000005448" "grey" "M0"
"ENSG00000005469" "grey" "M0"
"ENSG00000005483" "grey" "M0"
"ENSG00000005486" "grey" "M0"
"ENSG00000005513" "grey" "M0"
"ENSG00000005700" "grey" "M0"
"ENSG00000005801" "grey" "M0"
"ENSG00000005810" "tan" "M2"
"ENSG00000005812" "grey" "M0"
"ENSG00000005882" "grey" "M0"
"ENSG00000005884" "grey60" "M6"
"ENSG00000005889" "grey" "M0"
"ENSG00000005893" "grey" "M0"
"ENSG00000005955" "grey" "M0"
"ENSG00000005961" "lightcyan" "M5"
"ENSG00000006007" "grey" "M0"
"ENSG00000006015" "grey" "M0"
"ENSG00000006025" "lightcyan" "M5"
"ENSG00000006042" "grey" "M0"
"ENSG00000006047" "turquoise" "M1"
"ENSG00000006062" "grey60" "M6"
"ENSG00000006071" "turquoise" "M1"
"ENSG00000006114" "grey" "M0"
"ENSG00000006118" "lightyellow" "M8"
"ENSG00000006125" "grey" "M0"
"ENSG00000006128" "grey" "M0"
"ENSG00000006194" "lightyellow" "M8"
"ENSG00000006210" "grey" "M0"
"ENSG00000006282" "grey" "M0"
"ENSG00000006283" "grey" "M0"
"ENSG00000006327" "purple" "M18"
"ENSG00000006432" "tan" "M2"
"ENSG00000006451" "grey" "M0"
"ENSG00000006459" "royalblue" "M9"
"ENSG00000006468" "grey" "M0"
"ENSG00000006530" "grey" "M0"
"ENSG00000006576" "red" "M14"
"ENSG00000006607" "grey" "M0"
"ENSG00000006625" "grey" "M0"
"ENSG00000006634" "grey" "M0"
"ENSG00000006652" "purple" "M18"
"ENSG00000006695" "grey" "M0"
"ENSG00000006704" "grey60" "M6"
"ENSG00000006712" "grey" "M0"
"ENSG00000006715" "grey" "M0"
"ENSG00000006740" "green" "M13"
"ENSG00000006744" "grey60" "M6"
"ENSG00000006756" "grey" "M0"
"ENSG00000006831" "grey" "M0"
"ENSG00000007047" "cyan" "M3"
"ENSG00000007062" "lightgreen" "M7"
"ENSG00000007080" "grey" "M0"
"ENSG00000007168" "grey" "M0"
"ENSG00000007202" "grey" "M0"
"ENSG00000007237" "midnightblue" "M4"
"ENSG00000007255" "grey" "M0"
"ENSG00000007341" "yellow" "M12"
"ENSG00000007350" "yellow" "M12"
"ENSG00000007372" "black" "M15"
"ENSG00000007376" "grey" "M0"
"ENSG00000007384" "magenta" "M17"
"ENSG00000007392" "grey" "M0"
"ENSG00000007402" "green" "M13"
"ENSG00000007516" "grey" "M0"
"ENSG00000007520" "grey" "M0"
"ENSG00000007541" "black" "M15"
"ENSG00000007545" "grey" "M0"
"ENSG00000007866" "magenta" "M17"
"ENSG00000007923" "grey" "M0"
"ENSG00000007944" "grey" "M0"
"ENSG00000007968" "brown" "M11"
"ENSG00000008018" "grey" "M0"
"ENSG00000008056" "turquoise" "M1"
"ENSG00000008083" "grey" "M0"
"ENSG00000008086" "tan" "M2"
"ENSG00000008118" "green" "M13"
"ENSG00000008130" "lightyellow" "M8"
"ENSG00000008196" "yellow" "M12"
"ENSG00000008256" "grey60" "M6"
"ENSG00000008277" "tan" "M2"
"ENSG00000008282" "grey" "M0"
"ENSG00000008283" "grey" "M0"
"ENSG00000008294" "grey" "M0"
"ENSG00000008300" "grey" "M0"
"ENSG00000008311" "grey" "M0"
"ENSG00000008324" "grey" "M0"
"ENSG00000008382" "grey" "M0"
"ENSG00000008394" "grey" "M0"
"ENSG00000008405" "grey" "M0"
"ENSG00000008441" "magenta" "M17"
"ENSG00000008513" "grey" "M0"
"ENSG00000008710" "grey" "M0"
"ENSG00000008735" "turquoise" "M1"
"ENSG00000008838" "grey" "M0"
"ENSG00000008853" "grey" "M0"
"ENSG00000008869" "grey" "M0"
"ENSG00000008952" "grey" "M0"
"ENSG00000008988" "grey" "M0"
"ENSG00000009307" "grey" "M0"
"ENSG00000009335" "grey" "M0"
"ENSG00000009413" "grey" "M0"
"ENSG00000009694" "tan" "M2"
"ENSG00000009724" "lightcyan" "M5"
"ENSG00000009780" "grey" "M0"
"ENSG00000009830" "grey" "M0"
"ENSG00000009844" "grey" "M0"
"ENSG00000009954" "grey" "M0"
"ENSG00000010017" "grey" "M0"
"ENSG00000010072" "grey" "M0"
"ENSG00000010165" "purple" "M18"
"ENSG00000010219" "grey" "M0"
"ENSG00000010244" "grey" "M0"
"ENSG00000010256" "grey" "M0"
"ENSG00000010270" "grey" "M0"
"ENSG00000010278" "green" "M13"
"ENSG00000010292" "grey" "M0"
"ENSG00000010295" "grey" "M0"
"ENSG00000010310" "cyan" "M3"
"ENSG00000010318" "cyan" "M3"
"ENSG00000010322" "cyan" "M3"
"ENSG00000010361" "grey" "M0"
"ENSG00000010404" "turquoise" "M1"
"ENSG00000010539" "grey" "M0"
"ENSG00000010626" "lightgreen" "M7"
"ENSG00000010803" "grey" "M0"
"ENSG00000010810" "grey" "M0"
"ENSG00000010818" "turquoise" "M1"
"ENSG00000011007" "grey" "M0"
"ENSG00000011009" "grey" "M0"
"ENSG00000011021" "grey" "M0"
"ENSG00000011028" "magenta" "M17"
"ENSG00000011105" "midnightblue" "M4"
"ENSG00000011114" "grey" "M0"
"ENSG00000011132" "lightyellow" "M8"
"ENSG00000011143" "grey" "M0"
"ENSG00000011198" "grey" "M0"
"ENSG00000011201" "grey" "M0"
"ENSG00000011243" "lightcyan" "M5"
"ENSG00000011258" "grey" "M0"
"ENSG00000011260" "royalblue" "M9"
"ENSG00000011275" "grey" "M0"
"ENSG00000011295" "grey" "M0"
"ENSG00000011304" "grey" "M0"
"ENSG00000011332" "grey" "M0"
"ENSG00000011347" "turquoise" "M1"
"ENSG00000011376" "grey" "M0"
"ENSG00000011405" "grey" "M0"
"ENSG00000011426" "brown" "M11"
"ENSG00000011451" "grey" "M0"
"ENSG00000011454" "grey" "M0"
"ENSG00000011465" "midnightblue" "M4"
"ENSG00000011478" "grey" "M0"
"ENSG00000011485" "grey" "M0"
"ENSG00000011523" "grey" "M0"
"ENSG00000011566" "grey" "M0"
"ENSG00000011638" "cyan" "M3"
"ENSG00000011677" "tan" "M2"
"ENSG00000012048" "brown" "M11"
"ENSG00000012061" "grey" "M0"
"ENSG00000012171" "yellow" "M12"
"ENSG00000012174" "grey" "M0"
"ENSG00000012232" "grey" "M0"
"ENSG00000012660" "blue" "M10"
"ENSG00000012817" "cyan" "M3"
"ENSG00000012822" "magenta" "M17"
"ENSG00000012963" "grey" "M0"
"ENSG00000012983" "grey" "M0"
"ENSG00000013016" "blue" "M10"
"ENSG00000013275" "grey" "M0"
"ENSG00000013288" "grey" "M0"
"ENSG00000013293" "grey" "M0"
"ENSG00000013297" "grey" "M0"
"ENSG00000013306" "grey" "M0"
"ENSG00000013364" "grey" "M0"
"ENSG00000013374" "grey" "M0"
"ENSG00000013375" "grey" "M0"
"ENSG00000013392" "grey" "M0"
"ENSG00000013441" "grey" "M0"
"ENSG00000013503" "royalblue" "M9"
"ENSG00000013523" "grey" "M0"
"ENSG00000013561" "grey" "M0"
"ENSG00000013563" "grey" "M0"
"ENSG00000013573" "grey" "M0"
"ENSG00000013583" "grey" "M0"
"ENSG00000013619" "grey" "M0"
"ENSG00000013810" "brown" "M11"
"ENSG00000014123" "lightgreen" "M7"
"ENSG00000014138" "grey" "M0"
"ENSG00000014164" "magenta" "M17"
"ENSG00000014216" "grey" "M0"
"ENSG00000014641" "red" "M14"
"ENSG00000014824" "grey" "M0"
"ENSG00000014914" "midnightblue" "M4"
"ENSG00000014919" "grey" "M0"
"ENSG00000015133" "black" "M15"
"ENSG00000015153" "grey" "M0"
