,msg,mnsg,nmsg,nmnsg,module_genes,total_genes,pvalue,oddsratio,FDR,-LOG(pvalue)
NPC Sfari_all M0,313,5746,220,4842,6059,11121,0.044916287,1.198873748,0.322225535,0.491840047
NPC Sfari_all M1,57,835,476,9753,892,11121,0.026865748,1.398630218,0.233307812,0.632070719
NPC Sfari_all M2,21,919,512,9669,940,11121,4.12E-05,0.431557668,0.002266849,2.644577353
NPC Sfari_all M3,0,22,533,10566,22,11121,0.623742221,0,0.945468782,0.024352807
NPC Sfari_all M4,28,469,505,10119,497,11121,0.3887752,1.196254225,0.76011619,0.119120017
NPC Sfari_all M5,22,446,511,10142,468,11121,1,0.979019302,1,0
NPC Sfari_all M6,24,421,509,10167,445,11121,0.498011417,1.138671827,0.837415892,0.077058801
NPC Sfari_all M7,34,482,499,10106,516,11121,0.056877592,1.42853568,0.335171524,0.474732886
NPC Sfari_all M8,9,451,524,10137,460,11121,0.001719503,0.386072986,0.03546474,1.450203225
NPC Sfari_all M9,10,356,523,10232,366,11121,0.061468988,0.549548922,0.349737347,0.456257988
NPC Sfari_all M10,8,230,525,10358,238,11121,0.358035649,0.686251632,0.746668896,0.12687194
NPC Sfari_all M11,7,211,526,10377,218,11121,0.336314803,0.654495833,0.728705531,0.137447934
NPC Sfari_only M0,223,5836,159,4903,6059,11121,0.129443467,1.178277912,0.474626044,0.323648435
NPC Sfari_only M1,41,851,341,9888,892,11121,0.054559356,1.396983784,0.335171524,0.474732886
NPC Sfari_only M2,17,923,365,9816,940,11121,0.002653393,0.495347712,0.043919708,1.357340555
NPC Sfari_only M3,0,22,382,10717,22,11121,1,0,1,0
NPC Sfari_only M4,18,479,364,10260,497,11121,0.800509575,1.059231449,0.999063101,0.000407081
NPC Sfari_only M5,13,455,369,10284,468,11121,0.516269391,0.796289478,0.843410391,0.073961053
NPC Sfari_only M6,18,427,364,10312,445,11121,0.426566066,1.194203168,0.773443966,0.111571144
NPC Sfari_only M7,24,492,358,10247,516,11121,0.135492729,1.396179588,0.486006527,0.313357898
NPC Sfari_only M8,8,452,374,10287,460,11121,0.036469572,0.486821616,0.286546641,0.542804678
NPC Sfari_only M9,6,360,376,10379,366,11121,0.056564288,0.460085205,0.335171524,0.474732886
NPC Sfari_only M10,7,231,375,10508,238,11121,0.856783863,0.8491408,1,0
NPC Sfari_only M11,7,211,375,10528,218,11121,1,0.931392337,1,0
NPC ID_all M0,491,5568,363,4699,6059,11121,0.06820297,1.141499571,0.361211097,0.442238916
NPC ID_all M1,75,817,779,9450,892,11121,0.393909844,1.113567647,0.76011619,0.119120017
NPC ID_all M2,57,883,797,9384,940,11121,0.054549666,0.760070417,0.335171524,0.474732886
NPC ID_all M3,0,22,854,10245,22,11121,0.408503257,0,0.765943607,0.115803205
NPC ID_all M4,48,449,806,9818,497,11121,0.100750059,1.302178123,0.440909421,0.355650621
NPC ID_all M5,35,433,819,9834,468,11121,0.929457418,0.970570686,1,0
NPC ID_all M6,27,418,827,9849,445,11121,0.236548923,0.769300153,0.616327423,0.210188508
NPC ID_all M7,37,479,817,9788,516,11121,0.734801258,0.925418304,0.982444005,0.007692193
NPC ID_all M8,27,433,827,9834,460,11121,0.152087058,0.741513269,0.53392265,0.272521655
NPC ID_all M9,32,334,822,9933,366,11121,0.424350072,1.1577261,0.773443966,0.111571144
NPC ID_all M10,17,221,837,10046,238,11121,0.901836605,0.923263335,1,0
NPC ID_all M11,8,210,846,10057,218,11121,0.020418037,0.452888412,0.198175061,0.702950999
NPC ID_only M0,401,5658,302,4760,6059,11121,0.170842235,1.117044897,0.561512707,0.250640411
NPC ID_only M1,59,833,644,9585,892,11121,0.719638821,1.054185809,0.982444005,0.007692193
NPC ID_only M2,53,887,650,9531,940,11121,0.400788536,0.876130959,0.76011619,0.119120017
NPC ID_only M3,0,22,703,10396,22,11121,0.396517241,0,0.76011619,0.119120017
NPC ID_only M4,38,459,665,9959,497,11121,0.219498059,1.239810964,0.616327423,0.210188508
NPC ID_only M5,26,442,677,9976,468,11121,0.56018495,0.86679909,0.90608556,0.042830791
NPC ID_only M6,21,424,682,9994,445,11121,0.194953675,0.725831433,0.606931251,0.2168605
NPC ID_only M7,27,489,676,9929,516,11121,0.353562382,0.810977895,0.746668896,0.12687194
NPC ID_only M8,26,434,677,9984,460,11121,0.624582407,0.883486281,0.945468782,0.024352807
NPC ID_only M9,28,338,675,10080,366,11121,0.274958281,1.237053865,0.657508933,0.182098342
NPC ID_only M10,16,222,687,10196,238,11121,0.78705394,1.069669816,0.998953078,0.000454911
NPC ID_only M11,8,210,695,10208,218,11121,0.120782256,0.559587569,0.474501721,0.323762208
NPC Sfari&ID M0,90,5969,61,5001,6059,11121,0.217580901,1.236116413,0.616327423,0.210188508
NPC Sfari&ID M1,16,876,135,10094,892,11121,0.227865281,1.365618403,0.616327423,0.210188508
NPC Sfari&ID M2,4,936,147,10034,940,11121,0.007179165,0.29172292,0.084611582,1.072570183
NPC Sfari&ID M3,0,22,151,10948,22,11121,1,0,1,0
NPC Sfari&ID M4,10,487,141,10483,497,11121,0.22788513,1.526548536,0.616327423,0.210188508
NPC Sfari&ID M5,9,459,142,10511,468,11121,0.301285344,1.451317809,0.693083087,0.159214699
NPC Sfari&ID M6,6,439,145,10531,445,11121,1,0.992632809,1,0
NPC Sfari&ID M7,10,506,141,10464,516,11121,0.239060334,1.466576613,0.616327423,0.210188508
NPC Sfari&ID M8,1,459,150,10511,460,11121,0.022148898,0.152677412,0.203031566,0.692436435
NPC Sfari&ID M9,4,362,147,10608,366,11121,0.820343609,0.797396738,1,0
NPC Sfari&ID M10,1,237,150,10733,238,11121,0.38467741,0.301932222,0.76011619,0.119120017
NPC Sfari&ID M11,0,218,151,10752,218,11121,0.125880514,0,0.474626044,0.323648435
Neuron Sfari_all M0,382,7439,271,4122,7821,12214,0.002898391,0.781098759,0.043919708,1.357340555
Neuron Sfari_all M1,48,458,605,11103,506,12214,0.000105133,1.923250613,0.004336728,2.362837843
Neuron Sfari_all M2,53,366,600,11195,419,12214,5.43E-09,2.701744563,8.96E-07,6.047637079
Neuron Sfari_all M3,21,312,632,11249,333,12214,0.388834314,1.197992721,0.76011619,0.119120017
Neuron Sfari_all M4,12,268,641,11293,280,12214,0.502158645,0.788860124,0.837415892,0.077058801
Neuron Sfari_all M5,13,214,640,11347,227,12214,0.765130993,1.076998366,0.98630167,0.005990231
Neuron Sfari_all M6,14,270,639,11291,284,12214,0.893646133,0.916215975,1,0
Neuron Sfari_all M7,7,159,646,11402,166,12214,0.726449655,0.777057552,0.982444005,0.007692193
Neuron Sfari_all M8,12,249,641,11312,261,12214,0.677560062,0.850483574,0.982444005,0.007692193
Neuron Sfari_all M9,7,214,646,11347,221,12214,0.173558473,0.574558339,0.561512707,0.250640411
