Ensembl	Gene.x	F2613.cl1_npcFile_P_NPC	F2613.cl2_npcFile_P_NPC	F2613.cl3_npcFile_P_NPC	F2688.cl4_npcFile_P_NPC	F2688.cl5_npcFile_P_NPC	F2688.cl6_npcFile_P_NPC	F2735.cl1_npcFile_P_NPC	F2735.cl2_npcFile_P_NPC	F2735.cl3_npcFile_P_NPC	F6136.cl1_npcFile_P_NPC	F7511.cl1_npcFile_P_NPC	F7511.cl2_npcFile_P_NPC	F7511.cl3_npcFile_P_NPC	F6281.cl1_npcFile_P_NPC	F6281.cl2_npcFile_P_NPC	F6281.cl4_npcFile_P_NPC	F5541.cl1_npcFile_C_NPC	F5541.cl2_npcFile_C_NPC	F5541.cl5_npcFile_C_NPC	F5618.cl3_npcFile_C_NPC	F5618.cl6_npcFile_C_NPC	F6119.cl1_npcFile_C_NPC	F6119.cl7_npcFile_C_NPC	F7315.cl4_npcFile_C_NPC	F7315.cl5_npcFile_C_NPC	F7647.cl1_npcFile_C_NPC	F7647.cl2_npcFile_C_NPC	F7647.cl3_npcFile_C_NPC	F7672.cl4_npcFile_C_NPC	F2613.cl1_NeurFile_P_Neur	F2613.GFP.cl1_NeurFile_P_Neur	F2735.cl2_NeurFile_P_Neur	F2735.cl3_NeurFile_P_Neur	F2735.GFP.cl2_NeurFile_P_Neur	F6281.cl1_NeurFile_P_Neur	F6281.cl4_NeurFile_P_Neur	F6281.GFP.cl1_NeurFile_P_Neur	F7511.cl2_NeurFile_P_Neur	F5541.cl2_NeurFile_C_Neur	F5541.GFP.cl2_NeurFile_C_Neur	F5618.cl3_NeurFile_C_Neur	F5618.GFP.cl6_NeurFile_C_Neur	F7647.cl1_NeurFile_C_Neur	F7647.cl3_NeurFile_C_Neur	F7672.cl5_NeurFile_C_Neur	F7672.cl6_NeurFile_C_Neur	F7672.GFP.cl5_NeurFile_C_Neur	F7672.GFP.cl6_NeurFile_C_Neur
ENSG00000180176	TH	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03
ENSG00000132437	DDC	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03
ENSG00000123454	DBH	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03
ENSG00000165646	SLC18A2	7.489250889	7.180094883	7.11054798	7.44144497	7.307611786	7.237548949	7.669662026	7.402568864	7.257995131	7.366505412	7.450230164	7.472607427	7.09056031	7.232430344	7.288169428	7.228374625	7.430234127	7.360187783	7.682143068	7.090121483	7.210954699	7.302002707	7.255455382	7.144937026	7.506451292	7.389029168	7.258781734	7.449569195	7.355965759	7.342606241	7.392710893	7.241082195	7.461784199	7.419230368	7.290569014	7.337871384	7.226040931	7.701847756	7.274739958	7.418509872	7.227414371	7.221386368	7.391819078	7.48213912	7.238156988	7.303543501	7.269153128	7.38495038
ENSG00000113504	SLC12A7	10.46706813	10.6592955	10.7853628	10.66390814	10.27280709	10.3438129	10.44132448	10.45288636	10.61119393	10.17068816	10.64223295	10.57271644	10.18879163	10.30090142	10.33905226	10.34768195	10.60168207	10.74634742	10.53558359	10.51375275	10.21855481	10.92016934	10.78997793	10.41909948	10.89290018	10.9116265	11.10357313	11.04892297	10.50024461	9.970252759	9.999277979	8.952656297	9.228307867	10.03682865	9.480938459	9.333191551	9.041771581	9.653532556	9.359265692	9.479793255	9.484712677	9.333396999	9.225813537	9.270107818	9.004926407	8.963070403	8.686661261	9.389765341
ENSG00000160307	S100B	7.484520634	7.123192895	7.297974048	7.013020235	9.813041566	7.068222981	6.618464884	7.259130436	6.75040486	7.09398516	7.025706361	6.887400931	8.604909727	6.749103416	8.158575046	7.600946811	7.068436903	7.381158894	6.712287864	6.891402262	7.817240909	6.969648026	6.868183634	8.330805539	7.758194223	7.083286362	7.016539522	7.249219873	7.257580881	8.254360262	8.555792845	8.100767698	8.034415938	7.91958675	8.234254051	8.423862829	8.708549254	7.93108624	7.960649426	7.694283574	7.809604774	7.777413519	8.352654984	8.547550635	8.406098443	8.572358326	8.037493997	8.677958866
ENSG00000110436	SLC1A2	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	11.91197959	11.84851361	12.03843766	12.32855834	11.66076509	11.87055206	11.79835976	12.07037851	12.31970441	12.55187745	11.99585923	12.08890508	12.14007636	12.30553958	12.37769112	12.03460574	11.95288765	12.5901765	12.17453683
ENSG00000131095	GFAP	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	14.08337561	13.26016681	12.11502477	12.45151497	15.12044956	13.08584571	13.77393615	12.53733632	13.94671899	13.62638957	13.99972618	13.59387873	14.32150883	13.29698659	14.40821386	13.46399871	13.99645201	12.99201835	14.79827282
ENSG00000112578	BYSL	9.634557068	9.498003849	8.899921524	9.479656267	9.408018584	9.77794438	9.973485894	9.35272408	9.302310598	10.00760158	8.885715465	9.33719783	9.02101319	9.315268298	9.182801408	9.557779912	9.257816307	9.094176296	9.678452884	8.89876986	9.519971548	9.569983781	9.412560666	9.098421354	8.975216109	9.332668882	8.568734423	8.715594793	9.103446625	7.90813129	8.179574972	8.273133691	8.0185727	8.246704833	8.163124434	8.165986224	8.246210247	8.232582348	8.464457601	8.318255347	8.414532189	8.340357845	8.197987334	8.268342	8.460273993	8.173641389	8.387790516	8.346105493
ENSG00000144908	ALDH1L1	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	8.467829621	8.877167143	7.787184939	7.657347942	7.751877393	7.763756901	8.119746921	8.292256386	7.85433981	7.616961879	7.391894214	7.683632939	8.192793947	7.777107077	7.894710149	7.54312585	7.952272283	7.520956988	7.604174899
