Ensembl	Gene.x	F2613.cl1_npcFile_P_NPC	F2613.cl2_npcFile_P_NPC	F2613.cl3_npcFile_P_NPC	F2688.cl4_npcFile_P_NPC	F2688.cl5_npcFile_P_NPC	F2688.cl6_npcFile_P_NPC	F2735.cl1_npcFile_P_NPC	F2735.cl2_npcFile_P_NPC	F2735.cl3_npcFile_P_NPC	F6136.cl1_npcFile_P_NPC	F7511.cl1_npcFile_P_NPC	F7511.cl2_npcFile_P_NPC	F7511.cl3_npcFile_P_NPC	F6281.cl1_npcFile_P_NPC	F6281.cl2_npcFile_P_NPC	F6281.cl4_npcFile_P_NPC	F5541.cl1_npcFile_C_NPC	F5541.cl2_npcFile_C_NPC	F5541.cl5_npcFile_C_NPC	F5618.cl3_npcFile_C_NPC	F5618.cl6_npcFile_C_NPC	F6119.cl1_npcFile_C_NPC	F6119.cl7_npcFile_C_NPC	F7315.cl4_npcFile_C_NPC	F7315.cl5_npcFile_C_NPC	F7647.cl1_npcFile_C_NPC	F7647.cl2_npcFile_C_NPC	F7647.cl3_npcFile_C_NPC	F7672.cl4_npcFile_C_NPC	F2613.cl1_NeurFile_P_Neur	F2613.GFP.cl1_NeurFile_P_Neur	F2735.cl2_NeurFile_P_Neur	F2735.cl3_NeurFile_P_Neur	F2735.GFP.cl2_NeurFile_P_Neur	F6281.cl1_NeurFile_P_Neur	F6281.cl4_NeurFile_P_Neur	F6281.GFP.cl1_NeurFile_P_Neur	F7511.cl2_NeurFile_P_Neur	F5541.cl2_NeurFile_C_Neur	F5541.GFP.cl2_NeurFile_C_Neur	F5618.cl3_NeurFile_C_Neur	F5618.GFP.cl6_NeurFile_C_Neur	F7647.cl1_NeurFile_C_Neur	F7647.cl3_NeurFile_C_Neur	F7672.cl5_NeurFile_C_Neur	F7672.cl6_NeurFile_C_Neur	F7672.GFP.cl5_NeurFile_C_Neur	F7672.GFP.cl6_NeurFile_C_Neur
ENSG00000110436	SLC1A2	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	11.91197959	11.84851361	12.03843766	12.32855834	11.66076509	11.87055206	11.79835976	12.07037851	12.31970441	12.55187745	11.99585923	12.08890508	12.14007636	12.30553958	12.37769112	12.03460574	11.95288765	12.5901765	12.17453683
ENSG00000131095	GFAP	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	14.08337561	13.26016681	12.11502477	12.45151497	15.12044956	13.08584571	13.77393615	12.53733632	13.94671899	13.62638957	13.99972618	13.59387873	14.32150883	13.29698659	14.40821386	13.46399871	13.99645201	12.99201835	14.79827282
ENSG00000144908	ALDH1L1	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	8.467829621	8.877167143	7.787184939	7.657347942	7.751877393	7.763756901	8.119746921	8.292256386	7.85433981	7.616961879	7.391894214	7.683632939	8.192793947	7.777107077	7.894710149	7.54312585	7.952272283	7.520956988	7.604174899
ENSG00000160307	S100B	7.484520634	7.123192895	7.297974048	7.013020235	9.813041566	7.068222981	6.618464884	7.259130436	6.75040486	7.09398516	7.025706361	6.887400931	8.604909727	6.749103416	8.158575046	7.600946811	7.068436903	7.381158894	6.712287864	6.891402262	7.817240909	6.969648026	6.868183634	8.330805539	7.758194223	7.083286362	7.016539522	7.249219873	7.257580881	8.254360262	8.555792845	8.100767698	8.034415938	7.91958675	8.234254051	8.423862829	8.708549254	7.93108624	7.960649426	7.694283574	7.809604774	7.777413519	8.352654984	8.547550635	8.406098443	8.572358326	8.037493997	8.677958866
ENSG00000079215	SLC1A3	8.538853956	8.635885888	9.537690585	9.962488688	10.28000059	9.162059492	10.30486851	10.35668121	9.639914437	9.371975125	9.428720664	9.359540717	10.3632509	8.797522351	10.26802884	9.831616227	9.166691036	9.55454075	9.2651517	9.477019454	9.871442434	8.648828769	8.246507973	9.346163144	9.465086697	8.995354773	8.366356144	9.914115847	10.34809861	11.86216711	11.07935061	12.48919792	13.51215902	11.93010968	12.15187623	11.83187964	11.3477439	12.55699397	11.16007208	11.8834976	11.89524953	12.60583311	11.48862485	12.00382505	11.86656311	11.93116159	12.08330015	11.94815899
ENSG00000180176	TH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000125798	FOXA2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000132437	DDC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000157542	KCNJ6	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	7.737207538	8.274086253	7.809496439	8.006616564	8.188781174	7.826583275	8.048488671	7.837609683	8.353263962	7.906180287	8.024167236	7.852933222	8.232461543	8.244892598	8.476356649	8.055439843	8.196077343	7.946636445	8.169147416
ENSG00000136944	LMX1B	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	7.236062867	7.354729626	8.17366365	8.100516055	7.526285542	7.598418371	8.248234639	8.066944994	8.135364148	7.692879719	7.694283574	7.93304516	8.741550678	9.713139491	8.935354262	9.936849245	9.693067314	9.948527665	9.393926334
