gene-symbol,gene-name,chromosome,genetic-category,gene-score,syndromic,number-of-reports
ABAT,4-aminobutyrate aminotransferase,16,"Rare Single Gene Mutation, Genetic Association",3,0,5
ABCA10,"ATP-binding cassette, sub-family A (ABC1), member 10",17,Rare Single Gene Mutation,3,0,1
ABCA13,ATP binding cassette subfamily A member 13,7,"Rare Single Gene Mutation, Functional",3,0,6
ABCA7,"ATP-binding cassette, sub-family A (ABC1), member 7",19,Rare Single Gene Mutation,3,0,3
ACE,angiotensin I converting enzyme,17,"Rare Single Gene Mutation, Genetic Association",3,0,3
ACHE,Acetylcholinesterase (Yt blood group),7,Rare Single Gene Mutation,2,0,4
ACTN4,actinin alpha 4,19,Rare Single Gene Mutation,3,0,4
ADA,adenosine deaminase,20,"Rare Single Gene Mutation, Genetic Association",2,0,7
ADCY3,adenylate cyclase 3,2,Rare Single Gene Mutation,2,0,2
ADCY5,Adenylate cyclase 5,3,Rare Single Gene Mutation,3,0,6
ADK,adenosine kinase,10,Rare Single Gene Mutation,3,0,2
ADNP,Activity-dependent neuroprotector homeobox,20,"Rare Single Gene Mutation, Syndromic, Functional",1,0,37
ADORA3,Adenosine A3 receptor,1,"Rare Single Gene Mutation, Functional",3,0,2
ADSL,adenylosuccinate lyase,22,"Rare Single Gene Mutation, Syndromic",1,0,6
AFF2,"AF4/FMR2 family, member 2",X,"Rare Single Gene Mutation, Syndromic",1,0,15
AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",2,Rare Single Gene Mutation,3,0,8
AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",12,Rare Single Gene Mutation,2,0,4
AGBL4,ATP/GTP binding protein-like 4,1,Rare Single Gene Mutation,3,0,3
AGMO,alkylglycerol monooxygenase,7,"Rare Single Gene Mutation, Genetic Association",3,0,6
AGO1,"argonaute 1, RISC catalytic component",1,Rare Single Gene Mutation,2,0,7
AGO3,argonaute RISC catalytic component 3,1,Rare Single Gene Mutation,3,0,4
AGO4,argonaute RISC catalytic component 4,1,Rare Single Gene Mutation,2,0,3
AGTR2,"angiotensin II receptor, type 2",X,Rare Single Gene Mutation,3,0,3
AHDC1,AT-hook DNA binding motif containing 1,1,"Rare Single Gene Mutation, Syndromic",1,0,11
AKAP9,A kinase (PRKA) anchor protein 9,7,Rare Single Gene Mutation,2,0,5
ALDH5A1,"aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase )",6,"Rare Single Gene Mutation, Syndromic",1,0,10
ADSS2,adenylosuccinate synthase 2,1,Rare Single Gene Mutation,3,0,3
AMPD1,Adenosine monophosphate deaminase 1,1,"Rare Single Gene Mutation, Genetic Association",2,0,3
AMT,Aminomethyltransferase,3,Rare Single Gene Mutation,2,0,1
ANK2,"Ankyrin 2, neuronal",4,Rare Single Gene Mutation,1,0,13
ANK3,ankyrin 3,10,"Rare Single Gene Mutation, Genetic Association",1,0,25
ANKRD11,ankyrin repeat domain 11,16,"Rare Single Gene Mutation, Syndromic",1,0,43
ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B,12,"Rare Single Gene Mutation, Syndromic",3S,S,2
ANXA1,Annexin A1,9,Rare Single Gene Mutation,2,0,2
APBA2,"amyloid beta (A4) precursor protein-binding, family A, member 2",15,Rare Single Gene Mutation,3,0,7
APBB1,amyloid beta precursor protein binding family B member 1,11,"Rare Single Gene Mutation, Functional",2,0,3
APH1A,APH1A gamma secretase subunit,1,Rare Single Gene Mutation,2,0,2
ARHGAP11B,Rho GTPase activating protein 11B,15,Rare Single Gene Mutation,3,0,2
ARHGAP32,Rho GTPase activating protein 32,11,"Rare Single Gene Mutation, Functional",3,0,7
ARHGAP5,Rho GTPase activating protein 5,14,Rare Single Gene Mutation,3,0,4
ARHGEF10,Rho guanine nucleotide exchange factor 10,8,"Rare Single Gene Mutation, Functional",3,0,4
ARHGEF9,Cdc42 guanine nucleotide exchange factor (GEF) 9,X,"Rare Single Gene Mutation, Syndromic",1,0,10
ARID1B,AT-rich interaction domain 1B,6,"Rare Single Gene Mutation, Syndromic",1,0,42
ARID2,AT-rich interaction domain 2,12,"Rare Single Gene Mutation, Syndromic",3S,S,6
ARNT2,aryl-hydrocarbon receptor nuclear translocator 2,15,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,11
ARX,aristaless related homeobox,X,"Rare Single Gene Mutation, Syndromic",1,0,17
ADORA2A,adenosine A2a receptor,22,Genetic Association,3,0,7
ADRB2,"adrenergic, beta-2-, receptor, surface",5,Genetic Association,3,0,10
ALG6,"ALG6, alpha-1,3-glucosyltransferase",1,Syndromic,S,S,1
AR,androgen receptor,X,Genetic Association,3,0,6
ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",2,Rare Single Gene Mutation,2,0,3
ASB14,ankyrin repeat and SOCS box containing 14,3,Rare Single Gene Mutation,3,0,4
ASH1L,"Ash1 (absent, small, or homeotic)-like (Drosophila)",1,"Rare Single Gene Mutation, Syndromic",1,0,14
ASMT,acetylserotonin O-methyltransferase,"X,Y","Rare Single Gene Mutation, Genetic Association",3,0,9
ASPM,abnormal spindle microtubule assembly,1,"Rare Single Gene Mutation, Syndromic",2,0,7
ASTN2,astrotactin 2,9,"Rare Single Gene Mutation, Genetic Association",2,0,13
ASXL3,Additional sex combs like 3 (Drosophila),18,"Rare Single Gene Mutation, Syndromic",1,0,22
ATP10A,Probable phospholipid-transporting ATPase VA,15,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,8
ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,1,"Rare Single Gene Mutation, Syndromic",3S,S,3
ATP1A3,ATPase Na+/K+ transporting subunit alpha 3,19,"Rare Single Gene Mutation, Syndromic, Functional",3S,S,13
ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2",3,"Rare Single Gene Mutation, Genetic Association",2,0,9
ATP6V0A2,ATPase H+ transporting V0 subunit a2,12,Rare Single Gene Mutation,3,0,3
ATRX,alpha thalassemia/mental retardation syndrome X-linked,X,"Rare Single Gene Mutation, Syndromic",1,0,20
AUTS2,autism susceptibility candidate 2,7,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,36
AVPR1A,arginine vasopressin receptor 1A,12,"Rare Single Gene Mutation, Genetic Association",2,0,21
AVPR1B,arginine vasopressin receptor 1B,1,"Genetic Association, Functional",3,0,8
AZGP1,"alpha-2-glycoprotein 1, zinc-binding",7,Rare Single Gene Mutation,3,0,3
BAZ2B,bromodomain adjacent to zinc finger domain 2B,2,Rare Single Gene Mutation,1,0,4
BBS4,Bardet-Biedl syndrome 4,15,"Rare Single Gene Mutation, Syndromic",3,0,4
BCAS1,breast carcinoma amplified sequence 1,20,Rare Single Gene Mutation,3,0,3
BCKDK,Branched chain ketoacid dehydrogenase kinase,16,Rare Single Gene Mutation,1,0,4
BCL11A,B-cell CLL/lymphoma 11A (zinc finger protein),2,"Rare Single Gene Mutation, Syndromic",1,0,16
BIRC6,Baculoviral IAP repeat containing 6,2,Rare Single Gene Mutation,3,0,9
BRAF,v-raf murine sarcoma viral oncogene homolog B,7,"Rare Single Gene Mutation, Syndromic",1,0,8
BRCA2,"breast cancer 2, early onset",13,Rare Single Gene Mutation,3,0,4
BICDL1,BICD family like cargo adaptor 1,12,Genetic Association,3,0,2
BRD4,bromodomain containing 4,19,"Rare Single Gene Mutation, Syndromic",3,0,4
BRSK2,BR serine/threonine kinase 2,11,"Rare Single Gene Mutation, Syndromic",1,0,3
BST1,bone marrow stromal cell antigen 1,4,"Genetic Association, Functional",3,0,5
BTAF1,"RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)",10,Rare Single Gene Mutation,2,0,6
BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase,10,Rare Single Gene Mutation,3,0,2
C15orf62,chromosome 15 open reading frame 62,15,Rare Single Gene Mutation,3,0,2
C3orf58,chromosome 3 open reading frame 58,3,Rare Single Gene Mutation,3,0,3
C4B,complement component 4B,6,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,6
CA6,carbonic anhydrase VI,1,Rare Single Gene Mutation,3,0,6
CACNA1B,calcium voltage-gated channel subunit alpha1 B,9,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,9
CACNA1C,"calcium channel, voltage-dependent, L type, alpha 1C subunit",12,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,43
CACNA1D,"calcium channel, voltage-dependent, L type, alpha 1D",3,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,0,20
CACNA1E,calcium voltage-gated channel subunit alpha1 E,1,Rare Single Gene Mutation,2,0,10
CACNA1F,"calcium channel, voltage-dependent, alpha 1F",X,"Rare Single Gene Mutation, Genetic Association",3,0,7
CACNA1G,"calcium channel, voltage-dependent, T type, alpha 1G subunit",17,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,20
CACNA1H,"calcium channel, voltage-dependent, alpha 1H subunit",16,Rare Single Gene Mutation,2,0,25
CACNA1I,"Calcium channel, voltage-dependent, T type, alpha 1I subunit",22,"Rare Single Gene Mutation, Genetic Association",3,0,7
CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,7,Rare Single Gene Mutation,3,0,3
CACNA2D3,"Calcium channel, voltage-dependent, alpha 2/delta subunit 3",3,Rare Single Gene Mutation,2,0,6
CACNB2,"Calcium channel, voltage-dependent, beta 2 subunit",10,"Rare Single Gene Mutation, Genetic Association",2,0,4
CADM1,cell adhesion molecule 1,11,Rare Single Gene Mutation,3,0,9
CADPS,calcium dependent secretion activator,3,"Rare Single Gene Mutation, Genetic Association",3,0,3
CADPS2,Ca2+-dependent activator protein for secretion 2,7,"Rare Single Gene Mutation, Functional",3,0,12
CAMK2A,calcium/calmodulin dependent protein kinase II alpha,5,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",3S,S,8
CAPN12,Calpain 12,19,Rare Single Gene Mutation,3,0,6
CAPRIN1,Cell cycle associated protein 1,11,"Rare Single Gene Mutation, Functional",2,0,4
CARD11,caspase recruitment domain family member 11,7,Rare Single Gene Mutation,3,0,1
