Accession	Gene	Peptide count	Unique peptides	Confidence score	Anova (p)	Max fold change	Fractions	Occurrences	Highest mean condition	Lowest mean condition	Description	F2613	F6281	F7511	F5541	F5618	F7647	Correlation
P08240	SRPRA	1	1	5.2295	8.39969E-05	Infinity	2	1	Controles	Pacientes	Signal recognition particle receptor subunit alpha OS=Homo sapiens OX=9606 GN=SRPRA PE=1 SV=2	0	0	0	162.2743064	83.5038646	283.9968807	-0.956321318
P17987	TCP1	38	34	335.7448	0.000604704	1.144599469	1;2;3	3	Pacientes	Controles	T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1	37083.80059	38046.93404	38025.00102	32936.04894	33582.57628	32341.9271	0.812493572
Q15021	NCAPD2	5	4	34.8497	0.000941955	2.311619327	2	1	Controles	Pacientes	Condensin complex subunit 1 OS=Homo sapiens OX=9606 GN=NCAPD2 PE=1 SV=3	250.2953125	288.2518207	316.395374	576.0063105	678.0884397	722.2068731	-0.834278313
Q00341	HDLBP	28	19	173.6862	0.00100559	2.118236296	1;2;3	3	Controles	Pacientes	Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2	4222.605331	4036.535511	4324.560613	9950.346342	7503.087124	9201.819696	-0.80803071
P80404	ABAT	10	8	62.387	0.001114889	2.400362403	2;3	2	Pacientes	Controles	4-aminobutyrate aminotransferase_ mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=3	3990.833426	2846.059874	3169.617101	1313.704481	1433.281937	1421.76343	0.810873243
P11047	LAMC1	27	22	175.5359	0.001735011	3.811172939	1;2;3	3	Controles	Pacientes	Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3	1997.978778	1441.865269	2498.822686	6784.413109	6941.481734	8907.391106	-0.858618959
O75874;Q96DT5	IDH1	26	19	193.5246	0.001845679	1.854390304	1;2;3	3	Pacientes	Controles	Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=2	23844.14411	28692.9799	22652.76011	14088.14074	12372.87318	14085.94319	0.627852457
Q96SZ5	ADO	1	1	5.6352	0.002165361	2.683648837	1	1	Pacientes	Controles	2-aminoethanethiol dioxygenase OS=Homo sapiens OX=9606 GN=ADO PE=1 SV=2	1663.90934	2324.391268	1638.323772	786.9589149	711.9193976	597.7538183	0.671564062
O94973	AP2A2	22	10	141.0297	0.002236337	2.363084179	2;3	2	Pacientes	Controles	AP-2 complex subunit alpha-2 OS=Homo sapiens OX=9606 GN=AP2A2 PE=1 SV=2	43430.68758	46069.08498	37159.64498	14483.97498	20880.48567	18234.73768	0.736093303
P30613	PKLR	6	1	60.9944	0.002382749	1.689410761	2	1	Controles	Pacientes	Pyruvate kinase PKLR OS=Homo sapiens OX=9606 GN=PKLR PE=1 SV=2	44.48628745	38.88753339	37.69577016	71.38482023	60.63643469	72.51501493	-0.825842123
O60256;Q14558	PRPSAP2	4	3	37.7101	0.002508811	1.871676492	2;3	2	Pacientes	Controles	Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Homo sapiens OX=9606 GN=PRPSAP2 PE=1 SV=1	4317.022707	4595.00472	3854.66155	2215.957092	1996.062068	2608.97209	0.61861053
