"","Gene_symbol","Transcript","Ensembl","Ensembl_biomart"
"1","ACADVL","NM_000018","ENSG00000072778","ENSG00000072778"
"2","PSEN1","NM_000021","ENSG00000080815","ENSG00000080815"
"3","ADSL","NM_000026","ENSG00000100357","ENSG00000239900"
"4","ALAD","NM_000031","ENSG00000148218","ENSG00000148218"
"5","BTD","NM_000060","ENSG00000169814","ENSG00000169814"
"6","CDK4","NM_000075","ENSG00000135446","ENSG00000135446"
"7","CPOX","NM_000097","ENSG00000080819","ENSG00000080819"
"8","CST3","NM_000099","ENSG00000101439","ENSG00000101439"
"9","CSTB","NM_000100","ENSG00000160213","ENSG00000160213"
"10","DDB2","NM_000107","ENSG00000134574","ENSG00000134574"
"11","DLD","NM_000108","ENSG00000091140","ENSG00000091140"
"12","TOR1A","NM_000113","ENSG00000136827","ENSG00000136827"
"13","TAZ","NM_000116","ENSG00000102125","ENSG00000102125"
"14","EMD","NM_000117","ENSG00000102119","ENSG00000102119"
"15","ERCC3","NM_000122","ENSG00000163161","ENSG00000163161"
"16","ERCC5","NM_000123","ENSG00000134899","ENSG00000134899"
"17","ETFA","NM_000126","ENSG00000140374","ENSG00000140374"
"18","FECH","NM_000140","ENSG00000066926","ENSG00000066926"
"19","FH","NM_000143","ENSG00000091483","ENSG00000091483"
"20","FXN","NM_000144","ENSG00000165060","ENSG00000165060"
"21","GAA","NM_000152","ENSG00000171298","ENSG00000171298"
"22","GALT","NM_000155","ENSG00000213930","ENSG00000213930"
"23","GBA","NM_000157","ENSG00000177628","ENSG00000177628"
"24","GBA","NM_000157","ENSG00000177628","ENSG00000262446"
"25","GCDH","NM_000159","ENSG00000105607","ENSG00000105607"
"26","GPI","NM_000175","ENSG00000105220","ENSG00000105220"
"27","GPI","NM_000175","ENSG00000105220","ENSG00000282019"
"28","GSS","NM_000178","ENSG00000100983","ENSG00000100983"
"29","MSH6","NM_000179","ENSG00000116062","ENSG00000116062"
"30","HADHA","NM_000182","ENSG00000084754","ENSG00000084754"
"31","HMBS","NM_000190","ENSG00000149397","ENSG00000256269"
"32","HMBS","NM_000190","ENSG00000149397","ENSG00000281702"
"33","HPS1","NM_000195","ENSG00000107521","ENSG00000107521"
"34","MEN1","NM_000244","ENSG00000133895","ENSG00000133895"
"35","MLH1","NM_000249","ENSG00000076242","ENSG00000076242"
"36","MTM1","NM_000252","ENSG00000171100","ENSG00000171100"
"37","MUT","NM_000255","ENSG00000146085","ENSG00000146085"
"38","NF2","NM_000268","ENSG00000186575","ENSG00000186575"
"39","NPC1","NM_000271","ENSG00000141458","ENSG00000141458"
"40","OAT","NM_000274","ENSG00000065154","ENSG00000065154"
"41","PEPD","NM_000285","ENSG00000124299","ENSG00000124299"
"42","PEX12","NM_000286","ENSG00000108733","ENSG00000108733"
"43","PEX6","NM_000287","ENSG00000124587","ENSG00000124587"
"44","PGK1","NM_000291","ENSG00000102144","ENSG00000102144"
"45","PHKB","NM_000293","ENSG00000102893","ENSG00000102893"
"46","PLOD1","NM_000302","ENSG00000083444","ENSG00000083444"
"47","CTSA","NM_000308","ENSG00000064601","ENSG00000064601"
"48","PTEN","NM_000314","ENSG00000171862","ENSG00000171862"
"49","PEX2","NM_000318","ENSG00000164751","ENSG00000164751"
"50","PEX5","NM_000319","ENSG00000139197","ENSG00000139197"
"51","TPI1","NM_000365","ENSG00000111669","ENSG00000111669"
"52","UROD","NM_000374","ENSG00000126088","ENSG00000126088"
"53","UROS","NM_000375","ENSG00000188690","ENSG00000188690"
"54","XPA","NM_000380","ENSG00000136936","ENSG00000136936"
"55","ALDH3A2","NM_000382","ENSG00000072210","ENSG00000072210"
"56","BLMH","NM_000386","ENSG00000108578","ENSG00000108578"
"57","CYB5R3","NM_000398","ENSG00000100243","ENSG00000100243"
"58","ERCC2","NM_000400","ENSG00000104884","ENSG00000104884"
"59","HSD17B4","NM_000414","ENSG00000133835","ENSG00000133835"
"60","IFNGR1","NM_000416","ENSG00000027697","ENSG00000027697"
"61","PAFAH1B1","NM_000430","ENSG00000007168","ENSG00000007168"
"62","NEU1","NM_000434","ENSG00000206270","ENSG00000204386"
"63","NEU1","NM_000434","ENSG00000206270","ENSG00000227129"
"64","NEU1","NM_000434","ENSG00000206270","ENSG00000184494"
"65","NEU1","NM_000434","ENSG00000206270","ENSG00000234846"
"66","NEU1","NM_000434","ENSG00000206270","ENSG00000234343"
"67","NEU1","NM_000434","ENSG00000206270","ENSG00000223957"
"68","NEU1","NM_000434","ENSG00000206270","ENSG00000228691"
"69","NEU1","NM_000434","ENSG00000206270","ENSG00000227315"
"70","PSEN2","NM_000447","ENSG00000143801","ENSG00000143801"
"71","SOD1","NM_000454","ENSG00000142168","ENSG00000142168"
"72","STK11","NM_000455","ENSG00000118046","ENSG00000118046"
"73","UBE3A","NM_000462","ENSG00000114062","ENSG00000114062"
"74","PEX1","NM_000466","ENSG00000127980","ENSG00000127980"
"75","GALNS","NM_000512","ENSG00000141012","ENSG00000141012"
"76","HEXA","NM_000520","ENSG00000213614","ENSG00000213614"
"77","SMPD1","NM_000543","ENSG00000166311","ENSG00000166311"
"78","TSC2","NM_000548","ENSG00000103197","ENSG00000103197"
"79","IFNAR1","NM_000629","ENSG00000142166","ENSG00000142166"
"80","GSR","NM_000637","ENSG00000104687","ENSG00000104687"
"81","ADH5","NM_000671","ENSG00000197894","ENSG00000197894"
"82","AHCY","NM_000687","ENSG00000101444","ENSG00000101444"
"83","ALDH9A1","NM_000696","ENSG00000143149","ENSG00000143149"
"84","BCKDHA","NM_000709","ENSG00000142046","ENSG00000248098"
"85","COMT","NM_000754","ENSG00000093010","ENSG00000093010"
"86","GART","NM_000819","ENSG00000159131","ENSG00000159131"
"87","GART","NM_000819","ENSG00000159131","ENSG00000262473"
"88","GRINA","NM_000837","ENSG00000178719","ENSG00000178719"
"89","GSTM4","NM_000850","ENSG00000168765","ENSG00000168765"
"90","GUK1","NM_000858","ENSG00000143774","ENSG00000143774"
"91","NQO2","NM_000904","ENSG00000124588","ENSG00000124588"
"92","PDHB","NM_000925","ENSG00000168291","ENSG00000168291"
"93","POLR2A","NM_000937","ENSG00000181222","ENSG00000181222"
"94","POLR2B","NM_000938","ENSG00000047315","ENSG00000047315"
"95","RPL4","NM_000968","ENSG00000174444","ENSG00000174444"
"96","RPL6","NM_000970","ENSG00000089009","ENSG00000089009"
